S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49985.0,5.0,7.0,3.0,0.0,0.35,1,0.0,2.1
49981.0,6.0,9.0,4.0,3.0,0.35,2,3.0,2.1
49974.0,11.0,9.0,6.0,2.0,0.35,3,2.0,2.1
49968.0,15.0,11.0,6.0,2.0,0.35,4,2.0,2.1
49964.0,16.0,10.0,10.0,3.0,0.35,5,3.0,2.1
49961.0,14.0,14.0,11.0,5.0,0.35,6,5.0,2.1
49954.0,16.0,18.0,12.0,5.0,0.35,7,5.0,2.1
49950.0,15.0,21.0,14.0,5.0,0.35,8,5.0,2.1
49945.0,15.0,23.0,17.0,5.0,0.35,9,5.0,2.1
49941.0,16.0,22.0,21.0,3.0,0.35,10,3.0,2.1
49928.0,22.0,25.0,25.0,7.0,0.35,11,7.0,2.1
49922.0,17.0,34.0,27.0,11.0,0.35,12,11.0,2.1
49910.0,24.0,35.0,31.0,5.0,0.35,13,5.0,2.1
49902.0,25.0,31.0,42.0,7.0,0.35,14,7.0,2.1
49891.0,25.0,40.0,44.0,11.0,0.35,15,11.0,2.1
49876.0,31.0,47.0,46.0,9.0,0.35,16,9.0,2.1
49858.0,40.0,51.0,51.0,9.0,0.35,17,9.0,2.1
49838.0,46.0,55.0,61.0,14.0,0.35,18,14.0,2.1
49812.0,57.0,62.0,69.0,15.0,0.35,19,15.0,2.1
49786.0,64.0,69.0,81.0,19.0,0.35,20,19.0,2.1
49769.0,57.0,76.0,98.0,24.0,0.35,21,24.0,2.1
49736.0,74.0,82.0,108.0,16.0,0.35,22,16.0,2.1
49719.0,68.0,94.0,119.0,23.0,0.35,23,23.0,2.1
49693.0,67.0,104.0,136.0,27.0,0.35,24,27.0,2.1
49659.0,76.0,107.0,158.0,25.0,0.35,25,25.0,2.1
49628.0,81.0,112.0,179.0,26.0,0.35,26,26.0,2.1
49589.0,91.0,126.0,194.0,29.0,0.35,27,29.0,2.1
49556.0,89.0,147.0,208.0,35.0,0.35,28,35.0,2.1
49506.0,109.0,154.0,231.0,30.0,0.35,29,30.0,2.1
49460.0,115.0,173.0,252.0,40.0,0.35,30,40.0,2.1
49398.0,131.0,194.0,277.0,46.0,0.35,31,46.0,2.1
49332.0,152.0,208.0,308.0,45.0,0.35,32,45.0,2.1
49267.0,156.0,226.0,351.0,61.0,0.35,33,61.0,2.1
49193.0,163.0,249.0,395.0,67.0,0.35,34,67.0,2.1
49115.0,183.0,275.0,427.0,58.0,0.35,35,58.0,2.1
49010.0,204.0,323.0,463.0,84.0,0.35,36,84.0,2.1
48890.0,249.0,335.0,526.0,75.0,0.35,37,75.0,2.1
48765.0,275.0,377.0,583.0,99.0,0.35,38,99.0,2.1
48614.0,318.0,434.0,634.0,108.0,0.35,39,108.0,2.1
48482.0,332.0,481.0,705.0,118.0,0.35,40,118.0,2.1
48442.0,231.0,547.0,780.0,141.0,0.1,41,141.0,0.6000000000000001
48398.0,192.0,550.0,860.0,83.0,0.1,42,83.0,0.6000000000000001
48355.0,161.0,547.0,937.0,74.0,0.1,43,74.0,0.6000000000000001
48294.0,159.0,528.0,1019.0,63.0,0.1,44,63.0,0.6000000000000001
48245.0,148.0,516.0,1091.0,60.0,0.1,45,60.0,0.6000000000000001
48199.0,135.0,502.0,1164.0,59.0,0.1,46,59.0,0.6000000000000001
48143.0,147.0,475.0,1235.0,44.0,0.1,47,44.0,0.6000000000000001
48083.0,142.0,467.0,1308.0,65.0,0.1,48,65.0,0.6000000000000001
48023.0,145.0,451.0,1381.0,57.0,0.1,49,57.0,0.6000000000000001
47978.0,137.0,433.0,1452.0,53.0,0.1,50,53.0,0.6000000000000001
47938.0,119.0,427.0,1516.0,58.0,0.1,51,58.0,0.6000000000000001
47895.0,116.0,399.0,1590.0,46.0,0.1,52,46.0,0.6000000000000001
47859.0,101.0,392.0,1648.0,51.0,0.1,53,51.0,0.6000000000000001
47816.0,101.0,370.0,1713.0,43.0,0.1,54,43.0,0.6000000000000001
47780.0,91.0,355.0,1774.0,46.0,0.1,55,46.0,0.6000000000000001
47747.0,88.0,338.0,1827.0,36.0,0.1,56,36.0,0.6000000000000001
