S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49986.0,4.0,9.0,1.0,0.0,0.35,1,0.0,2.1
49983.0,5.0,10.0,2.0,2.0,0.35,2,2.0,2.1
49975.0,11.0,11.0,3.0,2.0,0.35,3,2.0,2.1
49972.0,10.0,13.0,5.0,4.0,0.35,4,4.0,2.1
49968.0,12.0,13.0,7.0,2.0,0.35,5,2.0,2.1
49962.0,15.0,15.0,8.0,3.0,0.35,6,3.0,2.1
49957.0,14.0,18.0,11.0,6.0,0.35,7,6.0,2.1
49948.0,16.0,22.0,14.0,7.0,0.35,8,7.0,2.1
49939.0,20.0,24.0,17.0,5.0,0.35,9,5.0,2.1
49933.0,19.0,27.0,21.0,7.0,0.35,10,7.0,2.1
49927.0,18.0,30.0,25.0,7.0,0.35,11,7.0,2.1
49917.0,21.0,33.0,29.0,7.0,0.35,12,7.0,2.1
49906.0,21.0,35.0,38.0,11.0,0.35,13,11.0,2.1
49894.0,24.0,41.0,41.0,9.0,0.35,14,9.0,2.1
49882.0,27.0,41.0,50.0,9.0,0.35,15,9.0,2.1
49870.0,29.0,39.0,62.0,10.0,0.35,16,10.0,2.1
49856.0,31.0,48.0,65.0,12.0,0.35,17,12.0,2.1
49835.0,39.0,53.0,73.0,13.0,0.35,18,13.0,2.1
49818.0,42.0,60.0,80.0,14.0,0.35,19,14.0,2.1
49795.0,45.0,71.0,89.0,20.0,0.35,20,20.0,2.1
49768.0,54.0,77.0,101.0,18.0,0.35,21,18.0,2.1
49739.0,58.0,94.0,109.0,25.0,0.35,22,25.0,2.1
49720.0,57.0,99.0,124.0,20.0,0.35,23,20.0,2.1
49691.0,62.0,106.0,141.0,24.0,0.35,24,24.0,2.1
49660.0,68.0,118.0,154.0,25.0,0.35,25,25.0,2.1
49622.0,81.0,123.0,174.0,25.0,0.35,26,25.0,2.1
49570.0,95.0,144.0,191.0,38.0,0.35,27,38.0,2.1
49519.0,104.0,162.0,215.0,42.0,0.35,28,42.0,2.1
49464.0,116.0,180.0,240.0,43.0,0.35,29,43.0,2.1
49403.0,126.0,205.0,266.0,51.0,0.35,30,51.0,2.1
49339.0,139.0,232.0,290.0,51.0,0.35,31,51.0,2.1
49258.0,165.0,244.0,333.0,55.0,0.35,32,55.0,2.1
49171.0,180.0,280.0,369.0,72.0,0.35,33,72.0,2.1
49073.0,204.0,315.0,408.0,74.0,0.35,34,74.0,2.1
48961.0,239.0,342.0,458.0,77.0,0.35,35,77.0,2.1
48826.0,284.0,374.0,516.0,90.0,0.35,36,90.0,2.1
48731.0,267.0,424.0,578.0,112.0,0.35,37,112.0,2.1
48569.0,331.0,455.0,645.0,98.0,0.35,38,98.0,2.1
48427.0,362.0,500.0,711.0,111.0,0.35,39,111.0,2.1
48259.0,398.0,565.0,778.0,132.0,0.35,40,132.0,2.1
48215.0,271.0,644.0,870.0,171.0,0.1,41,171.0,0.6000000000000001
48159.0,226.0,646.0,969.0,101.0,0.1,42,101.0,0.6000000000000001
48092.0,204.0,624.0,1080.0,89.0,0.1,43,89.0,0.6000000000000001
48034.0,188.0,597.0,1181.0,74.0,0.1,44,74.0,0.6000000000000001
47969.0,175.0,590.0,1266.0,78.0,0.1,45,78.0,0.6000000000000001
47917.0,163.0,568.0,1352.0,64.0,0.1,46,64.0,0.6000000000000001
47846.0,170.0,554.0,1430.0,64.0,0.1,47,64.0,0.6000000000000001
47796.0,164.0,518.0,1522.0,56.0,0.1,48,56.0,0.6000000000000001
47747.0,149.0,500.0,1604.0,64.0,0.1,49,64.0,0.6000000000000001
47704.0,141.0,482.0,1673.0,51.0,0.1,50,51.0,0.6000000000000001
47659.0,136.0,466.0,1739.0,50.0,0.1,51,50.0,0.6000000000000001
47616.0,132.0,447.0,1805.0,47.0,0.1,52,47.0,0.6000000000000001
47580.0,117.0,435.0,1868.0,51.0,0.1,53,51.0,0.6000000000000001
47536.0,118.0,410.0,1936.0,43.0,0.1,54,43.0,0.6000000000000001
47502.0,92.0,411.0,1995.0,60.0,0.1,55,60.0,0.6000000000000001
47462.0,102.0,374.0,2062.0,30.0,0.1,56,30.0,0.6000000000000001
47421.0,94.0,365.0,2120.0,49.0,0.1,57,49.0,0.6000000000000001
47383.0,91.0,362.0,2164.0,41.0,0.1,58,41.0,0.6000000000000001
47356.0,82.0,340.0,2222.0,36.0,0.1,59,36.0,0.6000000000000001
47320.0,86.0,325.0,2269.0,32.0,0.1,60,32.0,0.6000000000000001
47280.0,93.0,301.0,2326.0,33.0,0.1,61,33.0,0.6000000000000001
47247.0,88.0,282.0,2383.0,38.0,0.1,62,38.0,0.6000000000000001
47217.0,81.0,277.0,2425.0,37.0,0.1,63,37.0,0.6000000000000001
47182.0,87.0,258.0,2473.0,29.0,0.1,64,29.0,0.6000000000000001
47159.0,78.0,257.0,2506.0,32.0,0.1,65,32.0,0.6000000000000001
47127.0,79.0,254.0,2540.0,31.0,0.1,66,31.0,0.6000000000000001
47103.0,76.0,244.0,2577.0,27.0,0.1,67,27.0,0.6000000000000001
47072.0,76.0,235.0,2617.0,31.0,0.1,68,31.0,0.6000000000000001
47054.0,68.0,225.0,2653.0,26.0,0.1,69,26.0,0.6000000000000001
47033.0,64.0,208.0,2695.0,25.0,0.1,70,25.0,0.6000000000000001
47016.0,48.0,204.0,2732.0,33.0,0.1,71,33.0,0.6000000000000001
47000.0,47.0,196.0,2757.0,17.0,0.1,72,17.0,0.6000000000000001
46974.0,59.0,186.0,2781.0,14.0,0.1,73,14.0,0.6000000000000001
46952.0,60.0,188.0,2800.0,21.0,0.1,74,21.0,0.6000000000000001
46928.0,56.0,190.0,2826.0,28.0,0.1,75,28.0,0.6000000000000001
46910.0,56.0,185.0,2849.0,18.0,0.1,76,18.0,0.6000000000000001
46889.0,56.0,176.0,2879.0,21.0,0.1,77,21.0,0.6000000000000001
46866.0,60.0,178.0,2896.0,19.0,0.1,78,19.0,0.6000000000000001
46857.0,43.0,170.0,2930.0,26.0,0.1,79,26.0,0.6000000000000001
46842.0,42.0,160.0,2956.0,16.0,0.1,80,16.0,0.6000000000000001
46820.0,46.0,157.0,2977.0,18.0,0.11461538461538462,81,18.0,0.6876923076923077
46798.0,54.0,151.0,2997.0,14.0,0.12923076923076923,82,14.0,0.7753846153846154
46777.0,56.0,145.0,3022.0,19.0,0.14384615384615385,83,19.0,0.8630769230769231
46757.0,56.0,129.0,3058.0,20.0,0.15846153846153846,84,20.0,0.9507692307692308
46744.0,46.0,139.0,3071.0,23.0,0.17307692307692307,85,23.0,1.0384615384615385
46716.0,58.0,139.0,3087.0,16.0,0.18769230769230769,86,16.0,1.1261538461538463
46688.0,61.0,141.0,3110.0,25.0,0.2023076923076923,87,25.0,1.2138461538461538
46668.0,59.0,142.0,3131.0,22.0,0.2169230769230769,88,22.0,1.3015384615384615
46638.0,70.0,138.0,3154.0,19.0,0.23153846153846153,89,19.0,1.3892307692307693
46602.0,70.0,148.0,3180.0,36.0,0.24615384615384614,90,36.0,1.476923076923077
46554.0,88.0,159.0,3199.0,30.0,0.26076923076923075,91,30.0,1.5646153846153845
46513.0,98.0,166.0,3223.0,31.0,0.27538461538461534,92,31.0,1.652307692307692
46479.0,84.0,185.0,3252.0,48.0,0.29,93,48.0,1.74
46441.0,86.0,192.0,3281.0,36.0,0.29,94,36.0,1.74
46389.0,111.0,188.0,3312.0,27.0,0.29,95,27.0,1.74
46340.0,116.0,206.0,3338.0,44.0,0.29,96,44.0,1.74
46285.0,133.0,212.0,3370.0,38.0,0.29,97,38.0,1.74
46232.0,134.0,231.0,3403.0,52.0,0.29,98,52.0,1.74
46173.0,144.0,250.0,3433.0,49.0,0.29,99,49.0,1.74
46110.0,144.0,273.0,3473.0,63.0,0.29,100,63.0,1.74
