S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49986.0,4.0,8.0,2.0,0.0,0.35,1,0.0,2.1
49985.0,2.0,10.0,3.0,3.0,0.35,2,3.0,2.1
49979.0,8.0,10.0,3.0,0.0,0.35,3,0.0,2.1
49979.0,4.0,14.0,3.0,4.0,0.35,4,4.0,2.1
49976.0,6.0,14.0,4.0,1.0,0.35,5,1.0,2.1
49973.0,5.0,17.0,5.0,4.0,0.35,6,4.0,2.1
49965.0,11.0,17.0,7.0,2.0,0.35,7,2.0,2.1
49958.0,14.0,20.0,8.0,4.0,0.35,8,4.0,2.1
49951.0,14.0,26.0,9.0,7.0,0.35,9,7.0,2.1
49944.0,16.0,25.0,15.0,5.0,0.35,10,5.0,2.1
49938.0,16.0,24.0,22.0,6.0,0.35,11,6.0,2.1
49929.0,18.0,29.0,24.0,7.0,0.35,12,7.0,2.1
49920.0,22.0,31.0,27.0,5.0,0.35,13,5.0,2.1
49912.0,24.0,29.0,35.0,6.0,0.35,14,6.0,2.1
49900.0,29.0,34.0,37.0,7.0,0.35,15,7.0,2.1
49893.0,28.0,36.0,43.0,8.0,0.35,16,8.0,2.1
49882.0,28.0,43.0,47.0,11.0,0.35,17,11.0,2.1
49867.0,30.0,52.0,51.0,13.0,0.35,18,13.0,2.1
49849.0,42.0,51.0,58.0,6.0,0.35,19,6.0,2.1
49832.0,45.0,58.0,65.0,14.0,0.35,20,14.0,2.1
49815.0,40.0,75.0,70.0,22.0,0.35,21,22.0,2.1
49787.0,49.0,84.0,80.0,19.0,0.35,22,19.0,2.1
49754.0,63.0,91.0,92.0,19.0,0.35,23,19.0,2.1
49721.0,64.0,112.0,103.0,32.0,0.35,24,32.0,2.1
49678.0,82.0,122.0,118.0,25.0,0.35,25,25.0,2.1
49640.0,91.0,138.0,131.0,29.0,0.35,26,29.0,2.1
49599.0,97.0,147.0,157.0,35.0,0.35,27,35.0,2.1
49562.0,97.0,156.0,185.0,37.0,0.35,28,37.0,2.1
49505.0,116.0,169.0,210.0,38.0,0.35,29,38.0,2.1
49451.0,137.0,180.0,232.0,33.0,0.35,30,33.0,2.1
49385.0,148.0,211.0,256.0,55.0,0.35,31,55.0,2.1
49315.0,162.0,233.0,290.0,56.0,0.35,32,56.0,2.1
49234.0,169.0,274.0,323.0,74.0,0.35,33,74.0,2.1
49150.0,194.0,291.0,365.0,59.0,0.35,34,59.0,2.1
49032.0,239.0,326.0,403.0,73.0,0.35,35,73.0,2.1
48920.0,253.0,377.0,450.0,98.0,0.35,36,98.0,2.1
48768.0,310.0,406.0,516.0,95.0,0.35,37,95.0,2.1
48630.0,316.0,478.0,576.0,132.0,0.35,38,132.0,2.1
48456.0,354.0,540.0,650.0,136.0,0.35,39,136.0,2.1
48285.0,378.0,615.0,722.0,147.0,0.35,40,147.0,2.1
48225.0,295.0,662.0,818.0,143.0,0.1,41,143.0,0.6000000000000001
48160.0,244.0,681.0,915.0,116.0,0.1,42,116.0,0.6000000000000001
48094.0,200.0,688.0,1018.0,110.0,0.1,43,110.0,0.6000000000000001
48025.0,191.0,660.0,1124.0,78.0,0.1,44,78.0,0.6000000000000001
47954.0,194.0,639.0,1213.0,68.0,0.1,45,68.0,0.6000000000000001
47874.0,200.0,610.0,1316.0,74.0,0.1,46,74.0,0.6000000000000001
47810.0,184.0,598.0,1408.0,80.0,0.1,47,80.0,0.6000000000000001
47755.0,156.0,571.0,1518.0,83.0,0.1,48,83.0,0.6000000000000001
47706.0,150.0,540.0,1604.0,55.0,0.1,49,55.0,0.6000000000000001
47660.0,141.0,513.0,1686.0,55.0,0.1,50,55.0,0.6000000000000001
47617.0,124.0,495.0,1764.0,60.0,0.1,51,60.0,0.6000000000000001
47566.0,121.0,477.0,1836.0,54.0,0.1,52,54.0,0.6000000000000001
47515.0,122.0,461.0,1902.0,50.0,0.1,53,50.0,0.6000000000000001
47472.0,120.0,441.0,1967.0,45.0,0.1,54,45.0,0.6000000000000001
47434.0,104.0,426.0,2036.0,54.0,0.1,55,54.0,0.6000000000000001
47395.0,99.0,409.0,2097.0,44.0,0.1,56,44.0,0.6000000000000001
47364.0,94.0,384.0,2158.0,36.0,0.1,57,36.0,0.6000000000000001
47338.0,80.0,363.0,2219.0,40.0,0.1,58,40.0,0.6000000000000001
47310.0,84.0,345.0,2261.0,24.0,0.1,59,24.0,0.6000000000000001
47272.0,91.0,317.0,2320.0,31.0,0.1,60,31.0,0.6000000000000001
47235.0,93.0,297.0,2375.0,35.0,0.1,61,35.0,0.6000000000000001
47209.0,83.0,284.0,2424.0,36.0,0.1,62,36.0,0.6000000000000001
47183.0,76.0,275.0,2466.0,33.0,0.1,63,33.0,0.6000000000000001
47165.0,66.0,269.0,2500.0,28.0,0.1,64,28.0,0.6000000000000001
47146.0,61.0,261.0,2532.0,24.0,0.1,65,24.0,0.6000000000000001
47123.0,63.0,249.0,2565.0,21.0,0.1,66,21.0,0.6000000000000001
47102.0,54.0,235.0,2609.0,30.0,0.1,67,30.0,0.6000000000000001
47085.0,47.0,231.0,2637.0,24.0,0.1,68,24.0,0.6000000000000001
47069.0,39.0,221.0,2671.0,24.0,0.1,69,24.0,0.6000000000000001
47040.0,53.0,204.0,2703.0,15.0,0.1,70,15.0,0.6000000000000001
47023.0,48.0,200.0,2729.0,22.0,0.1,71,22.0,0.6000000000000001
47006.0,47.0,186.0,2761.0,18.0,0.1,72,18.0,0.6000000000000001
46982.0,54.0,174.0,2790.0,17.0,0.1,73,17.0,0.6000000000000001
46971.0,45.0,164.0,2820.0,20.0,0.1,74,20.0,0.6000000000000001
46947.0,54.0,154.0,2845.0,15.0,0.1,75,15.0,0.6000000000000001
46933.0,51.0,142.0,2874.0,17.0,0.1,76,17.0,0.6000000000000001
46918.0,54.0,138.0,2890.0,12.0,0.1,77,12.0,0.6000000000000001
46907.0,43.0,135.0,2915.0,22.0,0.1,78,22.0,0.6000000000000001
46897.0,37.0,128.0,2938.0,16.0,0.1,79,16.0,0.6000000000000001
46883.0,34.0,126.0,2957.0,17.0,0.1,80,17.0,0.6000000000000001
46863.0,35.0,136.0,2966.0,19.0,0.11461538461538462,81,19.0,0.6876923076923077
46848.0,42.0,121.0,2989.0,8.0,0.12923076923076923,82,8.0,0.7753846153846154
46822.0,53.0,114.0,3011.0,15.0,0.14384615384615385,83,15.0,0.8630769230769231
46794.0,55.0,122.0,3029.0,26.0,0.15846153846153846,84,26.0,0.9507692307692308
46776.0,53.0,125.0,3046.0,20.0,0.17307692307692307,85,20.0,1.0384615384615385
46763.0,43.0,127.0,3067.0,23.0,0.18769230769230769,86,23.0,1.1261538461538463
46740.0,54.0,116.0,3090.0,12.0,0.2023076923076923,87,12.0,1.2138461538461538
46717.0,54.0,116.0,3113.0,23.0,0.2169230769230769,88,23.0,1.3015384615384615
46693.0,53.0,116.0,3138.0,25.0,0.23153846153846153,89,25.0,1.3892307692307693
46672.0,52.0,121.0,3155.0,22.0,0.24615384615384614,90,22.0,1.476923076923077
46646.0,56.0,128.0,3170.0,22.0,0.26076923076923075,91,22.0,1.5646153846153845
46606.0,70.0,135.0,3189.0,26.0,0.27538461538461534,92,26.0,1.652307692307692
46564.0,79.0,148.0,3209.0,33.0,0.29,93,33.0,1.74
46517.0,86.0,170.0,3227.0,40.0,0.29,94,40.0,1.74
46472.0,92.0,189.0,3247.0,39.0,0.29,95,39.0,1.74
46414.0,116.0,189.0,3281.0,34.0,0.29,96,34.0,1.74
46360.0,119.0,215.0,3306.0,51.0,0.29,97,51.0,1.74
46304.0,118.0,235.0,3343.0,57.0,0.29,98,57.0,1.74
46251.0,125.0,239.0,3385.0,46.0,0.29,99,46.0,1.74
46182.0,146.0,253.0,3419.0,48.0,0.29,100,48.0,1.74
