S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49986.0,4.0,9.0,1.0,0.0,0.35,1,0.0,2.1
49982.0,6.0,11.0,1.0,2.0,0.35,2,2.0,2.1
49980.0,6.0,12.0,2.0,2.0,0.35,3,2.0,2.1
49974.0,9.0,14.0,3.0,3.0,0.35,4,3.0,2.1
49971.0,11.0,13.0,5.0,1.0,0.35,5,1.0,2.1
49968.0,9.0,18.0,5.0,5.0,0.35,6,5.0,2.1
49964.0,9.0,16.0,11.0,4.0,0.35,7,4.0,2.1
49960.0,9.0,18.0,13.0,4.0,0.35,8,4.0,2.1
49955.0,12.0,16.0,17.0,2.0,0.35,9,2.0,2.1
49944.0,18.0,20.0,18.0,5.0,0.35,10,5.0,2.1
49936.0,21.0,20.0,23.0,5.0,0.35,11,5.0,2.1
49929.0,18.0,28.0,25.0,10.0,0.35,12,10.0,2.1
49917.0,25.0,29.0,29.0,5.0,0.35,13,5.0,2.1
49906.0,27.0,35.0,32.0,9.0,0.35,14,9.0,2.1
49894.0,28.0,40.0,38.0,11.0,0.35,15,11.0,2.1
49877.0,28.0,47.0,48.0,17.0,0.35,16,17.0,2.1
49855.0,40.0,48.0,57.0,10.0,0.35,17,10.0,2.1
49836.0,43.0,57.0,64.0,16.0,0.35,18,16.0,2.1
49814.0,50.0,64.0,72.0,15.0,0.35,19,15.0,2.1
49785.0,53.0,78.0,84.0,26.0,0.35,20,26.0,2.1
49760.0,56.0,91.0,93.0,22.0,0.35,21,22.0,2.1
49725.0,77.0,87.0,111.0,14.0,0.35,22,14.0,2.1
49692.0,79.0,105.0,124.0,31.0,0.35,23,31.0,2.1
49647.0,95.0,119.0,139.0,29.0,0.35,24,29.0,2.1
49605.0,107.0,122.0,166.0,30.0,0.35,25,30.0,2.1
49557.0,105.0,151.0,187.0,50.0,0.35,26,50.0,2.1
49499.0,122.0,163.0,216.0,41.0,0.35,27,41.0,2.1
49427.0,143.0,188.0,242.0,51.0,0.35,28,51.0,2.1
49365.0,145.0,216.0,274.0,60.0,0.35,29,60.0,2.1
49274.0,175.0,240.0,311.0,61.0,0.35,30,61.0,2.1
49185.0,195.0,268.0,352.0,69.0,0.35,31,69.0,2.1
49079.0,229.0,305.0,387.0,72.0,0.35,32,72.0,2.1
48964.0,265.0,338.0,433.0,79.0,0.35,33,79.0,2.1
48858.0,265.0,385.0,492.0,106.0,0.35,34,106.0,2.1
48695.0,325.0,430.0,550.0,103.0,0.35,35,103.0,2.1
48533.0,345.0,509.0,613.0,142.0,0.35,36,142.0,2.1
48356.0,388.0,578.0,678.0,134.0,0.35,37,134.0,2.1
48132.0,444.0,664.0,760.0,168.0,0.35,38,168.0,2.1
47915.0,485.0,752.0,848.0,176.0,0.35,39,176.0,2.1
47657.0,557.0,837.0,949.0,186.0,0.35,40,186.0,2.1
47589.0,395.0,937.0,1079.0,230.0,0.1,41,230.0,0.6000000000000001
47503.0,307.0,973.0,1217.0,174.0,0.1,42,174.0,0.6000000000000001
47413.0,278.0,950.0,1359.0,119.0,0.1,43,119.0,0.6000000000000001
47305.0,270.0,928.0,1497.0,116.0,0.1,44,116.0,0.6000000000000001
47216.0,258.0,881.0,1645.0,101.0,0.1,45,101.0,0.6000000000000001
47126.0,242.0,858.0,1774.0,106.0,0.1,46,106.0,0.6000000000000001
47040.0,226.0,844.0,1890.0,102.0,0.1,47,102.0,0.6000000000000001
46960.0,215.0,809.0,2016.0,91.0,0.1,48,91.0,0.6000000000000001
46883.0,215.0,764.0,2138.0,77.0,0.1,49,77.0,0.6000000000000001
46817.0,200.0,748.0,2235.0,81.0,0.1,50,81.0,0.6000000000000001
46750.0,193.0,705.0,2352.0,74.0,0.1,51,74.0,0.6000000000000001
46684.0,187.0,669.0,2460.0,72.0,0.1,52,72.0,0.6000000000000001
46606.0,195.0,640.0,2559.0,70.0,0.1,53,70.0,0.6000000000000001
46555.0,167.0,614.0,2664.0,79.0,0.1,54,79.0,0.6000000000000001
46496.0,159.0,588.0,2757.0,67.0,0.1,55,67.0,0.6000000000000001
46451.0,141.0,568.0,2840.0,63.0,0.1,56,63.0,0.6000000000000001
46389.0,153.0,534.0,2924.0,50.0,0.1,57,50.0,0.6000000000000001
46339.0,142.0,519.0,3000.0,61.0,0.1,58,61.0,0.6000000000000001
46291.0,149.0,469.0,3091.0,41.0,0.1,59,41.0,0.6000000000000001
46249.0,116.0,465.0,3170.0,75.0,0.1,60,75.0,0.6000000000000001
46200.0,125.0,439.0,3236.0,40.0,0.1,61,40.0,0.6000000000000001
46161.0,113.0,407.0,3319.0,51.0,0.1,62,51.0,0.6000000000000001
46110.0,128.0,387.0,3375.0,36.0,0.1,63,36.0,0.6000000000000001
46068.0,124.0,387.0,3421.0,46.0,0.1,64,46.0,0.6000000000000001
46028.0,119.0,377.0,3476.0,45.0,0.1,65,45.0,0.6000000000000001
45985.0,115.0,374.0,3526.0,47.0,0.1,66,47.0,0.6000000000000001
45951.0,110.0,352.0,3587.0,39.0,0.1,67,39.0,0.6000000000000001
45926.0,90.0,348.0,3636.0,45.0,0.1,68,45.0,0.6000000000000001
45887.0,89.0,337.0,3687.0,40.0,0.1,69,40.0,0.6000000000000001
45849.0,91.0,304.0,3756.0,36.0,0.1,70,36.0,0.6000000000000001
45821.0,85.0,304.0,3790.0,34.0,0.1,71,34.0,0.6000000000000001
45788.0,84.0,302.0,3826.0,34.0,0.1,72,34.0,0.6000000000000001
45764.0,78.0,293.0,3865.0,30.0,0.1,73,30.0,0.6000000000000001
45742.0,71.0,271.0,3916.0,29.0,0.1,74,29.0,0.6000000000000001
45713.0,72.0,262.0,3953.0,28.0,0.1,75,28.0,0.6000000000000001
45688.0,69.0,241.0,4002.0,28.0,0.1,76,28.0,0.6000000000000001
45666.0,56.0,232.0,4046.0,35.0,0.1,77,35.0,0.6000000000000001
45642.0,62.0,213.0,4083.0,18.0,0.1,78,18.0,0.6000000000000001
45627.0,55.0,204.0,4114.0,22.0,0.1,79,22.0,0.6000000000000001
45617.0,50.0,186.0,4147.0,15.0,0.1,80,15.0,0.6000000000000001
45602.0,42.0,181.0,4175.0,23.0,0.11461538461538462,81,23.0,0.6876923076923077
45581.0,42.0,174.0,4203.0,21.0,0.12923076923076923,82,21.0,0.7753846153846154
45552.0,57.0,161.0,4230.0,14.0,0.14384615384615385,83,14.0,0.8630769230769231
45524.0,63.0,163.0,4250.0,22.0,0.15846153846153846,84,22.0,0.9507692307692308
45493.0,66.0,171.0,4270.0,28.0,0.17307692307692307,85,28.0,1.0384615384615385
45464.0,59.0,177.0,4300.0,36.0,0.18769230769230769,86,36.0,1.1261538461538463
45428.0,76.0,173.0,4323.0,19.0,0.2023076923076923,87,19.0,1.2138461538461538
45386.0,93.0,167.0,4354.0,25.0,0.2169230769230769,88,25.0,1.3015384615384615
45352.0,92.0,171.0,4385.0,35.0,0.23153846153846153,89,35.0,1.3892307692307693
45307.0,108.0,172.0,4413.0,29.0,0.24615384615384614,90,29.0,1.476923076923077
45267.0,116.0,178.0,4439.0,32.0,0.26076923076923075,91,32.0,1.5646153846153845
45231.0,105.0,189.0,4475.0,47.0,0.27538461538461534,92,47.0,1.652307692307692
45190.0,103.0,213.0,4494.0,43.0,0.29,93,43.0,1.74
45140.0,110.0,218.0,4532.0,43.0,0.29,94,43.0,1.74
45089.0,121.0,228.0,4562.0,40.0,0.29,95,40.0,1.74
45028.0,131.0,242.0,4599.0,51.0,0.29,96,51.0,1.74
44960.0,153.0,234.0,4653.0,46.0,0.29,97,46.0,1.74
44895.0,159.0,257.0,4689.0,59.0,0.29,98,59.0,1.74
44839.0,150.0,294.0,4717.0,65.0,0.29,99,65.0,1.74
44766.0,163.0,315.0,4756.0,60.0,0.29,100,60.0,1.74
