S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49987.0,3.0,10.0,0.0,0.0,0.35,1,0.0,2.1
49982.0,7.0,11.0,0.0,1.0,0.35,2,1.0,2.1
49979.0,7.0,12.0,2.0,3.0,0.35,3,3.0,2.1
49975.0,7.0,16.0,2.0,4.0,0.35,4,4.0,2.1
49972.0,9.0,14.0,5.0,1.0,0.35,5,1.0,2.1
49970.0,8.0,13.0,9.0,3.0,0.35,6,3.0,2.1
49968.0,6.0,16.0,10.0,4.0,0.35,7,4.0,2.1
49959.0,14.0,17.0,10.0,1.0,0.35,8,1.0,2.1
49952.0,17.0,19.0,12.0,4.0,0.35,9,4.0,2.1
49947.0,14.0,25.0,14.0,8.0,0.35,10,8.0,2.1
49933.0,22.0,28.0,17.0,6.0,0.35,11,6.0,2.1
49922.0,22.0,36.0,20.0,11.0,0.35,12,11.0,2.1
49909.0,27.0,40.0,24.0,8.0,0.35,13,8.0,2.1
49899.0,26.0,49.0,26.0,11.0,0.35,14,11.0,2.1
49883.0,29.0,55.0,33.0,13.0,0.35,15,13.0,2.1
49867.0,30.0,60.0,43.0,15.0,0.35,16,15.0,2.1
49834.0,54.0,63.0,49.0,9.0,0.35,17,9.0,2.1
49810.0,57.0,77.0,56.0,21.0,0.35,18,21.0,2.1
49784.0,59.0,89.0,68.0,24.0,0.35,19,24.0,2.1
49748.0,73.0,99.0,80.0,22.0,0.35,20,22.0,2.1
49709.0,86.0,114.0,91.0,26.0,0.35,21,26.0,2.1
49670.0,88.0,135.0,107.0,37.0,0.35,22,37.0,2.1
49612.0,108.0,150.0,130.0,38.0,0.35,23,38.0,2.1
49567.0,116.0,165.0,152.0,37.0,0.35,24,37.0,2.1
49522.0,113.0,185.0,180.0,48.0,0.35,25,48.0,2.1
49452.0,136.0,207.0,205.0,47.0,0.35,26,47.0,2.1
49376.0,159.0,221.0,244.0,53.0,0.35,27,53.0,2.1
49291.0,171.0,266.0,272.0,73.0,0.35,28,73.0,2.1
49208.0,195.0,282.0,315.0,59.0,0.35,29,59.0,2.1
49116.0,199.0,329.0,356.0,88.0,0.35,30,88.0,2.1
48980.0,261.0,338.0,421.0,74.0,0.35,31,74.0,2.1
48863.0,255.0,410.0,472.0,123.0,0.35,32,123.0,2.1
48715.0,311.0,424.0,550.0,92.0,0.35,33,92.0,2.1
48588.0,324.0,466.0,622.0,114.0,0.35,34,114.0,2.1
48417.0,371.0,528.0,684.0,124.0,0.35,35,124.0,2.1
48221.0,412.0,602.0,765.0,155.0,0.35,36,155.0,2.1
48015.0,467.0,662.0,856.0,151.0,0.35,37,151.0,2.1
47800.0,493.0,739.0,968.0,189.0,0.35,38,189.0,2.1
47571.0,517.0,839.0,1073.0,205.0,0.35,39,205.0,2.1
47273.0,627.0,915.0,1185.0,188.0,0.35,40,188.0,2.1
47193.0,469.0,1036.0,1302.0,238.0,0.1,41,238.0,0.6000000000000001
