S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49989.0,1.0,10.0,0.0,0.0,0.35,1,0.0,2.1
49988.0,1.0,10.0,1.0,1.0,0.35,2,1.0,2.1
49984.0,5.0,9.0,2.0,0.0,0.35,3,0.0,2.1
49981.0,5.0,10.0,4.0,3.0,0.35,4,3.0,2.1
49978.0,4.0,14.0,4.0,4.0,0.35,5,4.0,2.1
49976.0,5.0,13.0,6.0,1.0,0.35,6,1.0,2.1
49972.0,6.0,13.0,9.0,3.0,0.35,7,3.0,2.1
49968.0,7.0,11.0,14.0,3.0,0.35,8,3.0,2.1
49963.0,8.0,13.0,16.0,4.0,0.35,9,4.0,2.1
49961.0,5.0,13.0,21.0,5.0,0.35,10,5.0,2.1
49956.0,7.0,14.0,23.0,3.0,0.35,11,3.0,2.1
49953.0,5.0,17.0,25.0,5.0,0.35,12,5.0,2.1
49949.0,9.0,13.0,29.0,0.0,0.35,13,0.0,2.1
49946.0,9.0,15.0,30.0,3.0,0.35,14,3.0,2.1
49942.0,8.0,20.0,30.0,5.0,0.35,15,5.0,2.1
49938.0,9.0,20.0,33.0,3.0,0.35,16,3.0,2.1
49934.0,9.0,20.0,37.0,4.0,0.35,17,4.0,2.1
49929.0,12.0,19.0,40.0,2.0,0.35,18,2.0,2.1
49922.0,14.0,21.0,43.0,5.0,0.35,19,5.0,2.1
49915.0,18.0,22.0,45.0,3.0,0.35,20,3.0,2.1
49907.0,19.0,28.0,46.0,7.0,0.35,21,7.0,2.1
49897.0,19.0,35.0,49.0,10.0,0.35,22,10.0,2.1
49887.0,22.0,32.0,59.0,7.0,0.35,23,7.0,2.1
49876.0,23.0,39.0,62.0,10.0,0.35,24,10.0,2.1
49857.0,31.0,45.0,67.0,11.0,0.35,25,11.0,2.1
49840.0,39.0,49.0,72.0,9.0,0.35,26,9.0,2.1
49823.0,40.0,58.0,79.0,16.0,0.35,27,16.0,2.1
49805.0,44.0,64.0,87.0,14.0,0.35,28,14.0,2.1
49776.0,48.0,77.0,99.0,25.0,0.35,29,25.0,2.1
49750.0,55.0,86.0,109.0,19.0,0.35,30,19.0,2.1
49719.0,71.0,86.0,124.0,15.0,0.35,31,15.0,2.1
49695.0,74.0,96.0,135.0,21.0,0.35,32,21.0,2.1
49665.0,71.0,116.0,148.0,33.0,0.35,33,33.0,2.1
49622.0,90.0,123.0,165.0,24.0,0.35,34,24.0,2.1
49576.0,101.0,135.0,188.0,35.0,0.35,35,35.0,2.1
49534.0,108.0,145.0,213.0,35.0,0.35,36,35.0,2.1
49489.0,118.0,163.0,230.0,35.0,0.35,37,35.0,2.1
49434.0,117.0,191.0,258.0,56.0,0.35,38,56.0,2.1
49371.0,122.0,229.0,278.0,58.0,0.35,39,58.0,2.1
49302.0,141.0,236.0,321.0,50.0,0.35,40,50.0,2.1
49278.0,123.0,242.0,357.0,42.0,0.1,41,42.0,0.6000000000000001
49255.0,102.0,244.0,399.0,44.0,0.1,42,44.0,0.6000000000000001
49221.0,90.0,258.0,431.0,46.0,0.1,43,46.0,0.6000000000000001
49196.0,78.0,265.0,461.0,37.0,0.1,44,37.0,0.6000000000000001
49165.0,74.0,267.0,494.0,35.0,0.1,45,35.0,0.6000000000000001
49139.0,76.0,249.0,536.0,24.0,0.1,46,24.0,0.6000000000000001
49119.0,57.0,244.0,580.0,39.0,0.1,47,39.0,0.6000000000000001
49097.0,54.0,239.0,610.0,25.0,0.1,48,25.0,0.6000000000000001
49076.0,55.0,219.0,650.0,20.0,0.1,49,20.0,0.6000000000000001
49049.0,58.0,211.0,682.0,24.0,0.1,50,24.0,0.6000000000000001
49026.0,52.0,201.0,721.0,29.0,0.1,51,29.0,0.6000000000000001
49006.0,57.0,182.0,755.0,15.0,0.1,52,15.0,0.6000000000000001
48990.0,52.0,176.0,782.0,21.0,0.1,53,21.0,0.6000000000000001
48973.0,46.0,173.0,808.0,23.0,0.1,54,23.0,0.6000000000000001
48960.0,38.0,163.0,839.0,21.0,0.1,55,21.0,0.6000000000000001
48941.0,43.0,155.0,861.0,14.0,0.1,56,14.0,0.6000000000000001
48928.0,37.0,144.0,891.0,19.0,0.1,57,19.0,0.6000000000000001
48916.0,31.0,148.0,905.0,18.0,0.1,58,18.0,0.6000000000000001
48891.0,44.0,139.0,926.0,12.0,0.1,59,12.0,0.6000000000000001
48873.0,44.0,140.0,943.0,18.0,0.1,60,18.0,0.6000000000000001
48864.0,37.0,132.0,967.0,16.0,0.1,61,16.0,0.6000000000000001
48850.0,33.0,127.0,990.0,18.0,0.1,62,18.0,0.6000000000000001
48843.0,25.0,119.0,1013.0,15.0,0.1,63,15.0,0.6000000000000001
48836.0,24.0,115.0,1025.0,8.0,0.1,64,8.0,0.6000000000000001
48825.0,27.0,100.0,1048.0,8.0,0.1,65,8.0,0.6000000000000001
48823.0,15.0,94.0,1068.0,14.0,0.1,66,14.0,0.6000000000000001
48813.0,21.0,89.0,1077.0,4.0,0.1,67,4.0,0.6000000000000001
48804.0,23.0,82.0,1091.0,7.0,0.1,68,7.0,0.6000000000000001
48794.0,24.0,82.0,1100.0,9.0,0.1,69,9.0,0.6000000000000001
48782.0,26.0,78.0,1114.0,10.0,0.1,70,10.0,0.6000000000000001
48772.0,21.0,85.0,1122.0,15.0,0.1,71,15.0,0.6000000000000001
48764.0,22.0,76.0,1138.0,7.0,0.1,72,7.0,0.6000000000000001
48759.0,19.0,73.0,1149.0,8.0,0.1,73,8.0,0.6000000000000001
48752.0,19.0,67.0,1162.0,7.0,0.1,74,7.0,0.6000000000000001
48748.0,15.0,63.0,1174.0,8.0,0.1,75,8.0,0.6000000000000001
48745.0,17.0,50.0,1188.0,1.0,0.1,76,1.0,0.6000000000000001
48740.0,13.0,52.0,1195.0,9.0,0.1,77,9.0,0.6000000000000001
48736.0,12.0,48.0,1204.0,5.0,0.1,78,5.0,0.6000000000000001
48731.0,13.0,47.0,1209.0,4.0,0.1,79,4.0,0.6000000000000001
48730.0,7.0,46.0,1217.0,7.0,0.1,80,7.0,0.6000000000000001
48724.0,9.0,45.0,1222.0,4.0,0.11461538461538462,81,4.0,0.6876923076923077
48719.0,11.0,38.0,1232.0,3.0,0.12923076923076923,82,3.0,0.7753846153846154
48711.0,15.0,37.0,1237.0,4.0,0.14384615384615385,83,4.0,0.8630769230769231
48706.0,14.0,39.0,1241.0,6.0,0.15846153846153846,84,6.0,0.9507692307692308
48701.0,14.0,40.0,1245.0,5.0,0.17307692307692307,85,5.0,1.0384615384615385
48695.0,14.0,43.0,1248.0,6.0,0.18769230769230769,86,6.0,1.1261538461538463
48688.0,16.0,42.0,1254.0,5.0,0.2023076923076923,87,5.0,1.2138461538461538
48683.0,12.0,41.0,1264.0,9.0,0.2169230769230769,88,9.0,1.3015384615384615
48675.0,12.0,40.0,1273.0,8.0,0.23153846153846153,89,8.0,1.3892307692307693
48664.0,16.0,34.0,1286.0,7.0,0.24615384615384614,90,7.0,1.476923076923077
48656.0,17.0,34.0,1293.0,7.0,0.26076923076923075,91,7.0,1.5646153846153845
48653.0,14.0,39.0,1294.0,6.0,0.27538461538461534,92,6.0,1.652307692307692
48640.0,19.0,37.0,1304.0,8.0,0.29,93,8.0,1.74
48632.0,23.0,38.0,1307.0,4.0,0.29,94,4.0,1.74
48619.0,29.0,38.0,1314.0,7.0,0.29,95,7.0,1.74
48609.0,27.0,43.0,1321.0,12.0,0.29,96,12.0,1.74
48597.0,30.0,45.0,1328.0,9.0,0.29,97,9.0,1.74
48585.0,31.0,49.0,1335.0,11.0,0.29,98,11.0,1.74
48576.0,31.0,49.0,1344.0,9.0,0.29,99,9.0,1.74
48564.0,33.0,52.0,1351.0,10.0,0.29,100,10.0,1.74
