S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49987.0,3.0,8.0,2.0,0.0,0.35,1,0.0,2.1
49986.0,4.0,6.0,4.0,0.0,0.35,2,0.0,2.1
49984.0,5.0,6.0,5.0,1.0,0.35,3,1.0,2.1
49982.0,6.0,7.0,5.0,1.0,0.35,4,1.0,2.1
49978.0,9.0,6.0,7.0,1.0,0.35,5,1.0,2.1
49976.0,7.0,8.0,9.0,4.0,0.35,6,4.0,2.1
49975.0,6.0,8.0,11.0,2.0,0.35,7,2.0,2.1
49968.0,9.0,11.0,12.0,4.0,0.35,8,4.0,2.1
49964.0,10.0,11.0,15.0,3.0,0.35,9,3.0,2.1
49961.0,10.0,14.0,15.0,3.0,0.35,10,3.0,2.1
49955.0,15.0,14.0,16.0,1.0,0.35,11,1.0,2.1
49947.0,22.0,14.0,17.0,1.0,0.35,12,1.0,2.1
49942.0,11.0,28.0,19.0,16.0,0.35,13,16.0,2.1
49932.0,19.0,26.0,23.0,2.0,0.35,14,2.0,2.1
49925.0,18.0,25.0,32.0,8.0,0.35,15,8.0,2.1
49915.0,22.0,29.0,34.0,6.0,0.35,16,6.0,2.1
49905.0,26.0,32.0,37.0,6.0,0.35,17,6.0,2.1
49898.0,19.0,41.0,42.0,14.0,0.35,18,14.0,2.1
49882.0,29.0,43.0,46.0,6.0,0.35,19,6.0,2.1
49870.0,32.0,46.0,52.0,9.0,0.35,20,9.0,2.1
49845.0,46.0,45.0,64.0,11.0,0.35,21,11.0,2.1
49823.0,49.0,60.0,68.0,19.0,0.35,22,19.0,2.1
49797.0,53.0,70.0,80.0,22.0,0.35,23,22.0,2.1
49772.0,63.0,74.0,91.0,15.0,0.35,24,15.0,2.1
49748.0,64.0,85.0,103.0,23.0,0.35,25,23.0,2.1
49713.0,76.0,95.0,116.0,23.0,0.35,26,23.0,2.1
49692.0,67.0,108.0,133.0,30.0,0.35,27,30.0,2.1
49647.0,84.0,122.0,147.0,28.0,0.35,28,28.0,2.1
49615.0,83.0,138.0,164.0,33.0,0.35,29,33.0,2.1
49567.0,103.0,144.0,186.0,28.0,0.35,30,28.0,2.1
49520.0,110.0,157.0,213.0,40.0,0.35,31,40.0,2.1
49475.0,110.0,180.0,235.0,45.0,0.35,32,45.0,2.1
49407.0,137.0,188.0,268.0,41.0,0.35,33,41.0,2.1
49342.0,156.0,201.0,301.0,46.0,0.35,34,46.0,2.1
49267.0,162.0,246.0,325.0,69.0,0.35,35,69.0,2.1
49169.0,203.0,269.0,359.0,57.0,0.35,36,57.0,2.1
49074.0,207.0,315.0,404.0,91.0,0.35,37,91.0,2.1
48951.0,256.0,339.0,454.0,74.0,0.35,38,74.0,2.1
48826.0,268.0,399.0,507.0,113.0,0.35,39,113.0,2.1
48697.0,303.0,435.0,565.0,94.0,0.35,40,94.0,2.1
48650.0,235.0,487.0,628.0,115.0,0.1,41,115.0,0.6000000000000001
48595.0,198.0,506.0,701.0,92.0,0.1,42,92.0,0.6000000000000001
48552.0,162.0,516.0,770.0,79.0,0.1,43,79.0,0.6000000000000001
48502.0,147.0,512.0,839.0,65.0,0.1,44,65.0,0.6000000000000001
48471.0,115.0,515.0,899.0,63.0,0.1,45,63.0,0.6000000000000001
48416.0,123.0,476.0,985.0,47.0,0.1,46,47.0,0.6000000000000001
48372.0,120.0,453.0,1055.0,47.0,0.1,47,47.0,0.6000000000000001
