S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49984.0,6.0,10.0,0.0,0.0,0.35,1,0.0,2.1
49983.0,6.0,9.0,2.0,1.0,0.35,2,1.0,2.1
49978.0,8.0,11.0,3.0,3.0,0.35,3,3.0,2.1
49976.0,8.0,13.0,3.0,2.0,0.35,4,2.0,2.1
49971.0,11.0,14.0,4.0,2.0,0.35,5,2.0,2.1
49966.0,11.0,15.0,8.0,5.0,0.35,6,5.0,2.1
49964.0,8.0,14.0,14.0,5.0,0.35,7,5.0,2.1
49959.0,10.0,14.0,17.0,3.0,0.35,8,3.0,2.1
49952.0,15.0,12.0,21.0,2.0,0.35,9,2.0,2.1
49948.0,12.0,18.0,22.0,7.0,0.35,10,7.0,2.1
49945.0,12.0,20.0,23.0,3.0,0.35,11,3.0,2.1
49937.0,16.0,17.0,30.0,4.0,0.35,12,4.0,2.1
49932.0,16.0,21.0,31.0,5.0,0.35,13,5.0,2.1
49922.0,19.0,26.0,33.0,7.0,0.35,14,7.0,2.1
49911.0,20.0,31.0,38.0,10.0,0.35,15,10.0,2.1
49898.0,27.0,34.0,41.0,6.0,0.35,16,6.0,2.1
49882.0,30.0,41.0,47.0,13.0,0.35,17,13.0,2.1
49871.0,31.0,45.0,53.0,10.0,0.35,18,10.0,2.1
49855.0,33.0,52.0,60.0,14.0,0.35,19,14.0,2.1
49835.0,42.0,51.0,72.0,11.0,0.35,20,11.0,2.1
49813.0,50.0,60.0,77.0,14.0,0.35,21,14.0,2.1
49785.0,56.0,73.0,86.0,22.0,0.35,22,22.0,2.1
49767.0,51.0,88.0,94.0,23.0,0.35,23,23.0,2.1
49740.0,56.0,92.0,112.0,22.0,0.35,24,22.0,2.1
49718.0,56.0,99.0,127.0,22.0,0.35,25,22.0,2.1
49682.0,70.0,105.0,143.0,22.0,0.35,26,22.0,2.1
49646.0,82.0,116.0,156.0,24.0,0.35,27,24.0,2.1
49600.0,93.0,124.0,183.0,35.0,0.35,28,35.0,2.1
49552.0,97.0,145.0,206.0,44.0,0.35,29,44.0,2.1
49511.0,104.0,158.0,227.0,34.0,0.35,30,34.0,2.1
49448.0,126.0,171.0,255.0,41.0,0.35,31,41.0,2.1
49380.0,146.0,191.0,283.0,48.0,0.35,32,48.0,2.1
49316.0,139.0,221.0,324.0,71.0,0.35,33,71.0,2.1
49240.0,164.0,235.0,361.0,51.0,0.35,34,51.0,2.1
49165.0,169.0,269.0,397.0,70.0,0.35,35,70.0,2.1
49067.0,206.0,284.0,443.0,61.0,0.35,36,61.0,2.1
48963.0,229.0,322.0,486.0,81.0,0.35,37,81.0,2.1
48851.0,254.0,371.0,524.0,87.0,0.35,38,87.0,2.1
48719.0,278.0,419.0,584.0,108.0,0.35,39,108.0,2.1
48587.0,304.0,452.0,657.0,106.0,0.35,40,106.0,2.1
48550.0,228.0,496.0,726.0,113.0,0.1,41,113.0,0.6000000000000001
48503.0,172.0,521.0,804.0,103.0,0.1,42,103.0,0.6000000000000001
48447.0,155.0,520.0,878.0,73.0,0.1,43,73.0,0.6000000000000001
48407.0,132.0,496.0,965.0,63.0,0.1,44,63.0,0.6000000000000001
48358.0,122.0,481.0,1039.0,59.0,0.1,45,59.0,0.6000000000000001
48311.0,129.0,447.0,1113.0,40.0,0.1,46,40.0,0.6000000000000001
48259.0,138.0,422.0,1181.0,43.0,0.1,47,43.0,0.6000000000000001
48224.0,122.0,382.0,1272.0,51.0,0.1,48,51.0,0.6000000000000001
48191.0,115.0,346.0,1348.0,40.0,0.1,49,40.0,0.6000000000000001
48159.0,103.0,337.0,1401.0,44.0,0.1,50,44.0,0.6000000000000001
48127.0,90.0,332.0,1451.0,45.0,0.1,51,45.0,0.6000000000000001
48096.0,85.0,317.0,1502.0,36.0,0.1,52,36.0,0.6000000000000001
48065.0,84.0,304.0,1547.0,32.0,0.1,53,32.0,0.6000000000000001
48036.0,84.0,267.0,1613.0,29.0,0.1,54,29.0,0.6000000000000001
48014.0,79.0,257.0,1650.0,27.0,0.1,55,27.0,0.6000000000000001
47995.0,60.0,252.0,1693.0,38.0,0.1,56,38.0,0.6000000000000001
47964.0,65.0,233.0,1738.0,26.0,0.1,57,26.0,0.6000000000000001
47937.0,63.0,220.0,1780.0,29.0,0.1,58,29.0,0.6000000000000001
47911.0,62.0,209.0,1818.0,27.0,0.1,59,27.0,0.6000000000000001
47898.0,48.0,205.0,1849.0,27.0,0.1,60,27.0,0.6000000000000001
47877.0,58.0,185.0,1880.0,11.0,0.1,61,11.0,0.6000000000000001
47862.0,56.0,169.0,1913.0,17.0,0.1,62,17.0,0.6000000000000001
47848.0,52.0,154.0,1946.0,18.0,0.1,63,18.0,0.6000000000000001
47838.0,41.0,148.0,1973.0,21.0,0.1,64,21.0,0.6000000000000001
47826.0,37.0,145.0,1992.0,16.0,0.1,65,16.0,0.6000000000000001
47814.0,36.0,136.0,2014.0,13.0,0.1,66,13.0,0.6000000000000001
47802.0,37.0,125.0,2036.0,11.0,0.1,67,11.0,0.6000000000000001
47794.0,34.0,117.0,2055.0,11.0,0.1,68,11.0,0.6000000000000001
47784.0,35.0,111.0,2070.0,9.0,0.1,69,9.0,0.6000000000000001
47773.0,33.0,98.0,2096.0,13.0,0.1,70,13.0,0.6000000000000001
47768.0,24.0,103.0,2105.0,14.0,0.1,71,14.0,0.6000000000000001
47760.0,23.0,102.0,2115.0,9.0,0.1,72,9.0,0.6000000000000001
47751.0,25.0,87.0,2137.0,7.0,0.1,73,7.0,0.6000000000000001
47747.0,18.0,88.0,2147.0,11.0,0.1,74,11.0,0.6000000000000001
47740.0,17.0,78.0,2165.0,8.0,0.1,75,8.0,0.6000000000000001
47729.0,22.0,78.0,2171.0,6.0,0.1,76,6.0,0.6000000000000001
47719.0,26.0,67.0,2188.0,6.0,0.1,77,6.0,0.6000000000000001
47713.0,23.0,67.0,2197.0,9.0,0.1,78,9.0,0.6000000000000001
47708.0,16.0,72.0,2204.0,12.0,0.1,79,12.0,0.6000000000000001
47704.0,10.0,69.0,2217.0,10.0,0.1,80,10.0,0.6000000000000001
47692.0,19.0,59.0,2230.0,3.0,0.11461538461538462,81,3.0,0.6876923076923077
47684.0,19.0,60.0,2237.0,8.0,0.12923076923076923,82,8.0,0.7753846153846154
47680.0,17.0,51.0,2252.0,6.0,0.14384615384615385,83,6.0,0.8630769230769231
47674.0,15.0,47.0,2264.0,8.0,0.15846153846153846,84,8.0,0.9507692307692308
47663.0,19.0,46.0,2272.0,7.0,0.17307692307692307,85,7.0,1.0384615384615385
47654.0,19.0,50.0,2277.0,9.0,0.18769230769230769,86,9.0,1.1261538461538463
47644.0,22.0,47.0,2287.0,7.0,0.2023076923076923,87,7.0,1.2138461538461538
47631.0,27.0,44.0,2298.0,8.0,0.2169230769230769,88,8.0,1.3015384615384615
47619.0,25.0,48.0,2308.0,14.0,0.23153846153846153,89,14.0,1.3892307692307693
47605.0,32.0,51.0,2312.0,7.0,0.24615384615384614,90,7.0,1.476923076923077
47588.0,40.0,55.0,2317.0,9.0,0.26076923076923075,91,9.0,1.5646153846153845
47580.0,30.0,68.0,2322.0,18.0,0.27538461538461534,92,18.0,1.652307692307692
47553.0,48.0,72.0,2327.0,9.0,0.29,93,9.0,1.74
