S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49989.0,1.0,8.0,2.0,0.0,0.35,1,0.0,2.1
49987.0,3.0,7.0,3.0,0.0,0.35,2,0.0,2.1
49984.0,5.0,8.0,3.0,1.0,0.35,3,1.0,2.1
49980.0,7.0,10.0,3.0,2.0,0.35,4,2.0,2.1
49977.0,5.0,14.0,4.0,5.0,0.35,5,5.0,2.1
49974.0,8.0,11.0,7.0,0.0,0.35,6,0.0,2.1
49970.0,7.0,14.0,9.0,5.0,0.35,7,5.0,2.1
49967.0,7.0,15.0,11.0,3.0,0.35,8,3.0,2.1
49964.0,7.0,16.0,13.0,3.0,0.35,9,3.0,2.1
49955.0,11.0,15.0,19.0,5.0,0.35,10,5.0,2.1
49952.0,12.0,16.0,20.0,2.0,0.35,11,2.0,2.1
49945.0,16.0,15.0,24.0,3.0,0.35,12,3.0,2.1
49941.0,14.0,18.0,27.0,6.0,0.35,13,6.0,2.1
49931.0,21.0,17.0,31.0,3.0,0.35,14,3.0,2.1
49926.0,18.0,24.0,32.0,8.0,0.35,15,8.0,2.1
49914.0,21.0,29.0,36.0,9.0,0.35,16,9.0,2.1
49902.0,24.0,35.0,39.0,9.0,0.35,17,9.0,2.1
49886.0,31.0,38.0,45.0,9.0,0.35,18,9.0,2.1
49876.0,29.0,42.0,53.0,12.0,0.35,19,12.0,2.1
49859.0,38.0,42.0,61.0,8.0,0.35,20,8.0,2.1
49845.0,35.0,52.0,68.0,17.0,0.35,21,17.0,2.1
49832.0,33.0,61.0,74.0,15.0,0.35,22,15.0,2.1
49814.0,35.0,71.0,80.0,16.0,0.35,23,16.0,2.1
49786.0,45.0,76.0,93.0,18.0,0.35,24,18.0,2.1
49765.0,46.0,83.0,106.0,20.0,0.35,25,20.0,2.1
49725.0,61.0,95.0,119.0,25.0,0.35,26,25.0,2.1
49693.0,69.0,106.0,132.0,24.0,0.35,27,24.0,2.1
49644.0,98.0,105.0,153.0,20.0,0.35,28,20.0,2.1
49610.0,99.0,127.0,164.0,33.0,0.35,29,33.0,2.1
49559.0,105.0,161.0,175.0,45.0,0.35,30,45.0,2.1
49504.0,125.0,171.0,200.0,35.0,0.35,31,35.0,2.1
49453.0,121.0,205.0,221.0,55.0,0.35,32,55.0,2.1
49378.0,150.0,224.0,248.0,46.0,0.35,33,46.0,2.1
49299.0,179.0,237.0,285.0,50.0,0.35,34,50.0,2.1
49222.0,181.0,279.0,318.0,75.0,0.35,35,75.0,2.1
49140.0,193.0,306.0,361.0,70.0,0.35,36,70.0,2.1
49049.0,202.0,338.0,411.0,82.0,0.35,37,82.0,2.1
48939.0,229.0,374.0,458.0,83.0,0.35,38,83.0,2.1
48805.0,263.0,414.0,518.0,100.0,0.35,39,100.0,2.1
48667.0,292.0,450.0,591.0,109.0,0.35,40,109.0,2.1
48624.0,216.0,501.0,659.0,119.0,0.1,41,119.0,0.6000000000000001
48578.0,181.0,499.0,742.0,81.0,0.1,42,81.0,0.6000000000000001
48532.0,166.0,493.0,809.0,61.0,0.1,43,61.0,0.6000000000000001
48479.0,143.0,493.0,885.0,76.0,0.1,44,76.0,0.6000000000000001
48441.0,130.0,458.0,971.0,51.0,0.1,45,51.0,0.6000000000000001
48392.0,128.0,432.0,1048.0,51.0,0.1,46,51.0,0.6000000000000001
48346.0,130.0,418.0,1106.0,44.0,0.1,47,44.0,0.6000000000000001
48303.0,120.0,405.0,1172.0,53.0,0.1,48,53.0,0.6000000000000001
48253.0,124.0,385.0,1238.0,46.0,0.1,49,46.0,0.6000000000000001
48211.0,114.0,373.0,1302.0,52.0,0.1,50,52.0,0.6000000000000001
48180.0,95.0,368.0,1357.0,50.0,0.1,51,50.0,0.6000000000000001
48137.0,104.0,350.0,1409.0,34.0,0.1,52,34.0,0.6000000000000001
48097.0,99.0,338.0,1466.0,45.0,0.1,53,45.0,0.6000000000000001
48063.0,101.0,306.0,1530.0,32.0,0.1,54,32.0,0.6000000000000001
48037.0,89.0,296.0,1578.0,38.0,0.1,55,38.0,0.6000000000000001
48015.0,64.0,304.0,1617.0,47.0,0.1,56,47.0,0.6000000000000001
47986.0,71.0,267.0,1676.0,22.0,0.1,57,22.0,0.6000000000000001
47960.0,66.0,256.0,1718.0,31.0,0.1,58,31.0,0.6000000000000001
47927.0,67.0,254.0,1752.0,32.0,0.1,59,32.0,0.6000000000000001
47913.0,57.0,236.0,1794.0,24.0,0.1,60,24.0,0.6000000000000001
47892.0,51.0,229.0,1828.0,27.0,0.1,61,27.0,0.6000000000000001
47862.0,64.0,220.0,1854.0,17.0,0.1,62,17.0,0.6000000000000001
47851.0,45.0,217.0,1887.0,30.0,0.1,63,30.0,0.6000000000000001
47818.0,64.0,204.0,1914.0,14.0,0.1,64,14.0,0.6000000000000001
47801.0,55.0,207.0,1937.0,26.0,0.1,65,26.0,0.6000000000000001
47783.0,55.0,191.0,1971.0,18.0,0.1,66,18.0,0.6000000000000001
47763.0,55.0,181.0,2001.0,20.0,0.1,67,20.0,0.6000000000000001
47747.0,51.0,172.0,2030.0,20.0,0.1,68,20.0,0.6000000000000001
47726.0,51.0,172.0,2051.0,21.0,0.1,69,21.0,0.6000000000000001
47711.0,51.0,156.0,2082.0,15.0,0.1,70,15.0,0.6000000000000001
47696.0,49.0,148.0,2107.0,17.0,0.1,71,17.0,0.6000000000000001
47686.0,39.0,145.0,2130.0,20.0,0.1,72,20.0,0.6000000000000001
47672.0,41.0,134.0,2153.0,12.0,0.1,73,12.0,0.6000000000000001
47663.0,30.0,134.0,2173.0,20.0,0.1,74,20.0,0.6000000000000001
47650.0,35.0,121.0,2194.0,8.0,0.1,75,8.0,0.6000000000000001
47633.0,34.0,123.0,2210.0,18.0,0.1,76,18.0,0.6000000000000001
47618.0,41.0,116.0,2225.0,8.0,0.1,77,8.0,0.6000000000000001
47603.0,32.0,122.0,2243.0,24.0,0.1,78,24.0,0.6000000000000001
47588.0,31.0,112.0,2269.0,16.0,0.1,79,16.0,0.6000000000000001
47575.0,34.0,106.0,2285.0,10.0,0.1,80,10.0,0.6000000000000001
47559.0,36.0,104.0,2301.0,14.0,0.11461538461538462,81,14.0,0.6876923076923077
