S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.7611189119685327,0,0.0,4.566713471811196
49979.0,11.0,10.0,0.0,0.0,0.7534393519760346,1,0.0,4.520636111856208
49976.0,11.0,11.0,2.0,3.0,0.7426571250684216,2,3.0,4.4559427504105305
49966.0,16.0,15.0,3.0,5.0,0.7289279430514432,3,5.0,4.37356765830866
49959.0,18.0,19.0,4.0,5.0,0.7124540575685642,4,5.0,4.274724345411386
49945.0,26.0,23.0,6.0,6.0,0.6934781501769308,5,6.0,4.160868901061585
49930.0,29.0,29.0,12.0,12.0,0.6722761110544232,6,12.0,4.033656666326539
49917.0,29.0,33.0,21.0,13.0,0.6491490456824792,7,13.0,3.8948942740948755
49896.0,38.0,39.0,27.0,12.0,0.6244148723313859,8,12.0,3.746489233988316
49868.0,54.0,42.0,36.0,12.0,0.5983998736248314,9,12.0,3.5903992417489885
49843.0,56.0,60.0,41.0,23.0,0.5714305442398457,10,23.0,3.4285832654390744
49811.0,70.0,68.0,51.0,18.0,0.543826036924331,11,18.0,3.262956221545986
49784.0,73.0,79.0,64.0,24.0,0.5158914547574406,12,24.0,3.0953487285446437
49742.0,84.0,95.0,79.0,31.0,0.4879121739631268,13,31.0,2.927473043778761
49696.0,96.0,114.0,94.0,34.0,0.4601493138676736,14,34.0,2.7608958832060417
49644.0,102.0,146.0,108.0,46.0,0.43283640375748206,15,46.0,2.5970184225448927
49593.0,117.0,163.0,127.0,36.0,0.4061772347620845,16,36.0,2.437063408572507
49530.0,138.0,177.0,155.0,42.0,0.3803448318183711,17,42.0,2.2820689909102265
49483.0,133.0,201.0,183.0,52.0,0.35548143851105246,18,52.0,2.132888631066315
49418.0,144.0,219.0,219.0,54.0,0.33169937724027115,19,54.0,1.990196263441627
49369.0,140.0,236.0,255.0,53.0,0.30908262880036946,20,53.0,1.854495772802217
49304.0,158.0,251.0,287.0,47.0,0.28768896824794954,21,47.0,1.7261338094876972
49232.0,174.0,270.0,324.0,56.0,0.26755249642223494,22,56.0,1.6053149785334098
49174.0,157.0,304.0,365.0,75.0,0.248686416772392,23,75.0,1.492118500634352
49105.0,166.0,320.0,409.0,60.0,0.2310859231776711,24,60.0,1.3865155390660266
49037.0,176.0,333.0,454.0,58.0,0.21473108416593187,25,58.0,1.2883865049955914
48976.0,162.0,357.0,505.0,75.0,0.19958963046490436,26,75.0,1.1975377827894262
48905.0,173.0,345.0,577.0,60.0,0.18561957455682565,27,60.0,1.113717447340954
48842.0,162.0,367.0,629.0,74.0,0.17277161158535057,28,74.0,1.0366296695121036
48782.0,159.0,386.0,673.0,63.0,0.16099126967065408,29,63.0,0.9659476180239245
48718.0,159.0,395.0,728.0,64.0,0.15022079384664191,30,64.0,0.9013247630798515
48666.0,141.0,412.0,781.0,70.0,0.140400761160802,31,70.0,0.842404566964812
48604.0,152.0,400.0,844.0,51.0,0.13147143493198382,32,51.0,0.7888286095919029
48558.0,151.0,384.0,907.0,47.0,0.12337387388699608,33,47.0,0.7402432433219766
48503.0,141.0,384.0,972.0,65.0,0.11605081716199862,34,65.0,0.6963049029719918
48466.0,132.0,369.0,1033.0,46.0,0.10944736930239453,35,46.0,0.6566842158143672
