S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.7611189119685327,0,0.0,4.566713471811196
49982.0,8.0,8.0,2.0,0.0,0.7534393519760346,1,0.0,4.520636111856208
49979.0,5.0,13.0,3.0,6.0,0.7426571250684216,2,6.0,4.4559427504105305
49966.0,17.0,14.0,3.0,1.0,0.7289279430514432,3,1.0,4.37356765830866
49962.0,13.0,22.0,3.0,8.0,0.7124540575685642,4,8.0,4.274724345411386
49951.0,19.0,25.0,5.0,5.0,0.6934781501769308,5,5.0,4.160868901061585
49938.0,22.0,32.0,8.0,10.0,0.6722761110544232,6,10.0,4.033656666326539
49913.0,39.0,36.0,12.0,8.0,0.6491490456824792,7,8.0,3.8948942740948755
49889.0,48.0,48.0,15.0,15.0,0.6244148723313859,8,15.0,3.746489233988316
49861.0,54.0,66.0,19.0,22.0,0.5983998736248314,9,22.0,3.5903992417489885
49821.0,70.0,83.0,26.0,24.0,0.5714305442398457,10,24.0,3.4285832654390744
49778.0,84.0,97.0,41.0,29.0,0.543826036924331,11,29.0,3.262956221545986
49727.0,101.0,119.0,53.0,34.0,0.5158914547574406,12,34.0,3.0953487285446437
49679.0,105.0,150.0,66.0,44.0,0.4879121739631268,13,44.0,2.927473043778761
49610.0,132.0,169.0,89.0,42.0,0.4601493138676736,14,42.0,2.7608958832060417
49538.0,144.0,204.0,114.0,60.0,0.43283640375748206,15,60.0,2.5970184225448927
49461.0,158.0,243.0,138.0,63.0,0.4061772347620845,16,63.0,2.437063408572507
49371.0,180.0,271.0,178.0,68.0,0.3803448318183711,17,68.0,2.2820689909102265
49271.0,202.0,312.0,215.0,78.0,0.35548143851105246,18,78.0,2.132888631066315
49179.0,219.0,349.0,253.0,75.0,0.33169937724027115,19,75.0,1.990196263441627
49060.0,253.0,379.0,308.0,85.0,0.30908262880036946,20,85.0,1.854495772802217
48960.0,265.0,426.0,349.0,88.0,0.28768896824794954,21,88.0,1.7261338094876972
48856.0,275.0,445.0,424.0,94.0,0.26755249642223494,22,94.0,1.6053149785334098
