S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.7611189119685327,0,0.0,4.566713471811196
49981.0,9.0,9.0,1.0,0.0,0.7534393519760346,1,0.0,4.520636111856208
49974.0,12.0,12.0,2.0,4.0,0.7426571250684216,2,4.0,4.4559427504105305
49959.0,21.0,16.0,4.0,6.0,0.7289279430514432,3,6.0,4.37356765830866
49949.0,24.0,20.0,7.0,7.0,0.7124540575685642,4,7.0,4.274724345411386
49936.0,31.0,23.0,10.0,6.0,0.6934781501769308,5,6.0,4.160868901061585
49918.0,39.0,31.0,12.0,10.0,0.6722761110544232,6,10.0,4.033656666326539
49898.0,43.0,42.0,17.0,16.0,0.6491490456824792,7,16.0,3.8948942740948755
49867.0,55.0,54.0,24.0,19.0,0.6244148723313859,8,19.0,3.746489233988316
49829.0,73.0,68.0,30.0,20.0,0.5983998736248314,9,20.0,3.5903992417489885
49790.0,89.0,81.0,40.0,23.0,0.5714305442398457,10,23.0,3.4285832654390744
49755.0,96.0,97.0,52.0,28.0,0.543826036924331,11,28.0,3.262956221545986
49707.0,105.0,113.0,75.0,39.0,0.5158914547574406,12,39.0,3.0953487285446437
49659.0,108.0,142.0,91.0,45.0,0.4879121739631268,13,45.0,2.927473043778761
49603.0,119.0,165.0,113.0,45.0,0.4601493138676736,14,45.0,2.7608958832060417
49542.0,138.0,181.0,139.0,42.0,0.43283640375748206,15,42.0,2.5970184225448927
49468.0,156.0,207.0,169.0,56.0,0.4061772347620845,16,56.0,2.437063408572507
49402.0,154.0,241.0,203.0,68.0,0.3803448318183711,17,68.0,2.2820689909102265
49319.0,178.0,261.0,242.0,59.0,0.35548143851105246,18,59.0,2.132888631066315
49229.0,197.0,291.0,283.0,71.0,0.33169937724027115,19,71.0,1.990196263441627
49128.0,211.0,330.0,331.0,87.0,0.30908262880036946,20,87.0,1.854495772802217
49043.0,212.0,374.0,371.0,84.0,0.28768896824794954,21,84.0,1.7261338094876972
48971.0,201.0,400.0,428.0,83.0,0.26755249642223494,22,83.0,1.6053149785334098
48865.0,226.0,412.0,497.0,81.0,0.248686416772392,23,81.0,1.492118500634352
48768.0,236.0,434.0,562.0,87.0,0.2310859231776711,24,87.0,1.3865155390660266
48675.0,242.0,451.0,632.0,87.0,0.21473108416593187,25,87.0,1.2883865049955914
48591.0,230.0,485.0,694.0,96.0,0.19958963046490436,26,96.0,1.1975377827894262
48508.0,220.0,504.0,768.0,93.0,0.18561957455682565,27,93.0,1.113717447340954
48419.0,234.0,508.0,839.0,75.0,0.17277161158535057,28,75.0,1.0366296695121036
48338.0,230.0,499.0,933.0,85.0,0.16099126967065408,29,85.0,0.9659476180239245
48270.0,208.0,521.0,1001.0,90.0,0.15022079384664191,30,90.0,0.9013247630798515
48209.0,177.0,546.0,1068.0,92.0,0.140400761160802,31,92.0,0.842404566964812
48147.0,171.0,523.0,1159.0,68.0,0.13147143493198382,32,68.0,0.7888286095919029
48084.0,163.0,514.0,1239.0,71.0,0.12337387388699608,33,71.0,0.7402432433219766
48015.0,169.0,505.0,1311.0,63.0,0.11605081716199862,34,63.0,0.6963049029719918
47939.0,174.0,491.0,1396.0,71.0,0.10944736930239453,35,71.0,0.6566842158143672
47886.0,163.0,485.0,1466.0,64.0,0.10351151080024035,36,64.0,0.6210690648014421
47846.0,142.0,453.0,1559.0,61.0,0.09819445974468266,37,61.0,0.589166758468096
47805.0,132.0,438.0,1625.0,51.0,0.09345090917727125,38,51.0,0.5607054550636276
47772.0,107.0,429.0,1692.0,58.0,0.08923916304894852,39,58.0,0.5354349782936911
47736.0,98.0,412.0,1754.0,45.0,0.08552119153006976,40,45.0,0.5131271491804186
47705.0,90.0,394.0,1811.0,39.0,0.08226262403995985,41,39.0,0.4935757442397591
47684.0,68.0,366.0,1882.0,43.0,0.07943269590097561,42,43.0,0.4765961754058537
47656.0,78.0,324.0,1942.0,18.0,0.07700416210265902,43,18.0,0.46202497261595415
47639.0,66.0,301.0,1994.0,29.0,0.07495318936510852,44,29.0,0.4497191361906511
47617.0,65.0,275.0,2043.0,23.0,0.0732592355663169,45,23.0,0.43955541339790144
47599.0,52.0,268.0,2081.0,31.0,0.07190492366979803,46,31.0,0.4314295420187882
47575.0,59.0,247.0,2119.0,17.0,0.07087591556085203,47,17.0,0.4252554933651122
47560.0,47.0,243.0,2150.0,27.0,0.07016078966263327,48,27.0,0.42096473797579964
47542.0,42.0,225.0,2191.0,23.0,0.06975092483736599,49,23.0,0.41850554902419596
47528.0,37.0,204.0,2231.0,19.0,0.06964039185810168,50,19.0,0.4178423511486101
47509.0,37.0,190.0,2264.0,19.0,0.06982585263372663,51,19.0,0.41895511580235983
47499.0,35.0,175.0,2291.0,12.0,0.07030646635524528,52,12.0,0.4218387981314717
47489.0,28.0,161.0,2322.0,17.0,0.07108380077677084,53,17.0,0.42650280466062507
47476.0,25.0,153.0,2346.0,16.0,0.07216174592536455,54,16.0,0.4329704755521873
47468.0,26.0,139.0,2367.0,7.0,0.07354642662983693,55,7.0,0.4412785597790216
47461.0,26.0,124.0,2389.0,7.0,0.07524610935620817,56,7.0,0.451476656137249
47453.0,23.0,119.0,2405.0,11.0,0.07727109793114222,57,11.0,0.4636265875868533
47443.0,26.0,110.0,2421.0,7.0,0.07963361182865722,58,7.0,0.4778016709719433
47433.0,25.0,106.0,2436.0,11.0,0.08234763980595924,59,11.0,0.49408583883575546
47424.0,23.0,96.0,2457.0,11.0,0.08542876083138928,60,11.0,0.5125725649883357
47415.0,25.0,86.0,2474.0,7.0,0.08889392349701508,61,7.0,0.5333635409820905
47405.0,27.0,78.0,2490.0,8.0,0.09276117451351754,62,8.0,0.5565670470811053
47398.0,21.0,81.0,2500.0,13.0,0.09704932652722245,63,13.0,0.5822959591633348
47392.0,15.0,79.0,2514.0,12.0,0.10177755547818787,64,12.0,0.6106653328691273
47382.0,18.0,77.0,2523.0,7.0,0.10696491815061353,65,7.0,0.6417895089036812
47374.0,17.0,73.0,2536.0,9.0,0.11262978158187102,66,9.0,0.6757786894912262
47372.0,15.0,67.0,2546.0,4.0,0.11878915773016957,67,4.0,0.7127349463810174
47359.0,22.0,65.0,2554.0,6.0,0.12545793938637204,68,6.0,0.7527476363182323
47352.0,22.0,63.0,2563.0,7.0,0.1326480368700539,69,7.0,0.7958882212203233
47346.0,17.0,65.0,2572.0,11.0,0.14036741965857075,70,11.0,0.8422045179514245
47339.0,14.0,67.0,2580.0,10.0,0.14861907279389042,71,10.0,0.8917144367633425
47325.0,26.0,57.0,2592.0,2.0,0.15739988465511026,72,2.0,0.9443993079306616
47316.0,25.0,63.0,2596.0,10.0,0.16669949033930784,73,10.0,1.0001969420358472
47311.0,21.0,58.0,2610.0,9.0,0.17649910320859338,74,9.0,1.0589946192515605
47300.0,25.0,55.0,2620.0,7.0,0.1867703757554445,75,7.0,1.1206222545326672
47292.0,26.0,55.0,2627.0,7.0,0.19747433929345398,76,7.0,1.184846035760724
47278.0,30.0,58.0,2634.0,10.0,0.2085604794481158,77,10.0,1.2513628766886948
47260.0,34.0,64.0,2642.0,14.0,0.219966010245995,78,14.0,1.31979606147597
47238.0,36.0,75.0,2651.0,20.0,0.23161541295771015,79,20.0,1.389692477746261
47219.0,42.0,79.0,2660.0,13.0,0.24342030591166566,80,13.0,1.460521835469994
47206.0,40.0,84.0,2670.0,15.0,0.25527970750515905,81,15.0,1.5316782450309543
47186.0,47.0,78.0,2689.0,13.0,0.2670807460057734,82,13.0,1.6024844760346406
47171.0,42.0,87.0,2700.0,20.0,0.2786998561299178,83,20.0,1.672199136779507
47148.0,50.0,85.0,2717.0,15.0,0.2900044838334935,84,15.0,1.740026903000961
47127.0,58.0,80.0,2735.0,13.0,0.300855297708838,85,13.0,1.805131786253028
47098.0,66.0,89.0,2747.0,21.0,0.31110887878284715,86,21.0,1.866653272697083
47077.0,66.0,93.0,2764.0,21.0,0.3206208317567747,87,21.0,1.9237249905406482
47050.0,65.0,101.0,2784.0,28.0,0.329249231640147,88,28.0,1.9754953898408822
47013.0,84.0,102.0,2801.0,18.0,0.33685829243797966,89,18.0,2.0211497546278783
46970.0,91.0,118.0,2821.0,36.0,0.34332212132264683,90,36.0,2.0599327279358812
46930.0,89.0,146.0,2835.0,42.0,0.34852840476613967,91,42.0,2.091170428596838
46878.0,108.0,164.0,2850.0,33.0,0.3523818643403301,92,33.0,2.1142911860419806
46817.0,131.0,174.0,2878.0,38.0,0.3548073207125517,93,38.0,2.1288439242753103
46759.0,136.0,203.0,2902.0,53.0,0.3557522154660282,94,53.0,2.134513292796169
46682.0,169.0,215.0,2934.0,44.0,0.35518846161836204,95,44.0,2.1311307697101722
46599.0,200.0,240.0,2961.0,52.0,0.35311352407193225,96,52.0,2.118681144431594
46520.0,201.0,290.0,2989.0,78.0,0.3495506688470381,97,78.0,2.097304013082229
46437.0,204.0,325.0,3034.0,80.0,0.3445483622681053,98,80.0,2.067290173608632
46330.0,242.0,346.0,3082.0,69.0,0.3381788452735772,99,69.0,2.0290730716414633
46231.0,250.0,384.0,3135.0,91.0,0.3305359504951889,100,91.0,1.9832157029711335
