time,NI,Rt,obs
0,15.0,1.5,15.0
1,3.0,1.5,3.0
2,4.0,1.5,4.0
3,2.0,1.5,2.0
4,3.0,1.5,3.0
5,6.0,1.5,6.0
6,4.0,1.5,4.0
7,7.0,1.5,7.0
8,4.0,1.5,4.0
9,4.0,1.5,4.0
10,4.0,1.5,4.0
11,4.0,1.5,4.0
12,6.0,1.5,6.0
13,11.0,1.5,11.0
14,8.0,1.5,8.0
15,8.0,1.5,8.0
16,7.0,1.5,7.0
17,10.0,1.5,10.0
18,10.0,1.5,10.0
19,8.0,1.5,8.0
20,9.0,1.5,9.0
21,12.0,1.5,12.0
22,9.0,1.5,9.0
23,12.0,1.5,12.0
24,13.0,1.5,13.0
25,17.0,1.5,17.0
26,23.0,1.5,23.0
27,29.0,1.5,29.0
28,25.0,1.5,25.0
29,32.0,1.5,32.0
30,30.0,1.5,30.0
31,38.0,1.5,38.0
32,36.0,1.5,36.0
33,45.0,1.5,45.0
34,32.0,1.5,32.0
35,48.0,1.5,48.0
36,69.0,1.46,69.0
37,49.0,1.42,49.0
38,69.0,1.38,69.0
39,49.0,1.34,49.0
40,60.0,1.3,60.0
41,62.0,1.26,62.0
42,60.0,1.22,60.0
43,47.0,1.18,47.0
44,60.0,1.1400000000000001,60.0
45,50.0,1.1,50.0
46,67.0,1.06,67.0
47,56.0,1.02,56.0
48,53.0,0.98,53.0
49,42.0,0.94,42.0
50,39.0,0.9,39.0
51,47.0,0.9006000000000001,47.0
52,43.0,0.9012,43.0
53,42.0,0.9018,42.0
54,46.0,0.9024,46.0
55,35.0,0.903,35.0
56,45.0,0.9036000000000001,45.0
57,45.0,0.9042,45.0
58,40.0,0.9048,40.0
59,33.0,0.9054,33.0
60,28.0,0.906,28.0
61,44.0,0.9066000000000001,44.0
62,32.0,0.9072,32.0
63,23.0,0.9078,23.0
64,37.0,0.9084,37.0
65,33.0,0.909,33.0
66,27.0,0.9096000000000001,27.0
67,28.0,0.9102,28.0
68,30.0,0.9108,30.0
69,25.0,0.9114,25.0
70,20.0,0.912,20.0
71,20.0,0.9126000000000001,20.0
72,23.0,0.9132,23.0
73,24.0,0.9138000000000001,24.0
74,27.0,0.9144,27.0
75,23.0,0.915,23.0
76,27.0,0.9156000000000001,27.0
77,32.0,0.9162,32.0
78,18.0,0.9168000000000001,18.0
79,24.0,0.9174,24.0
80,23.0,0.918,23.0
81,14.0,0.9186000000000001,14.0
82,19.0,0.9192,19.0
83,25.0,0.9198000000000001,25.0
84,30.0,0.9204,30.0
85,15.0,0.921,15.0
86,22.0,0.9216000000000001,22.0
87,17.0,0.9222,17.0
88,18.0,0.9228000000000001,18.0
89,19.0,0.9234,19.0
90,25.0,0.924,25.0
91,20.0,0.9246000000000001,20.0
92,19.0,0.9252,19.0
93,20.0,0.9258000000000001,20.0
94,21.0,0.9264,21.0
95,16.0,0.927,16.0
96,26.0,0.9276000000000001,26.0
97,14.0,0.9282,14.0
98,15.0,0.9288000000000001,15.0
99,18.0,0.9294,18.0
100,9.0,0.93,9.0
