time,NI,Rt,obs
0,15.0,1.5,15.0
1,2.0,1.5,2.0
2,4.0,1.5,4.0
3,6.0,1.5,6.0
4,6.0,1.5,6.0
5,11.0,1.5,11.0
6,5.0,1.5,5.0
7,4.0,1.5,4.0
8,6.0,1.5,6.0
9,7.0,1.5,7.0
10,7.0,1.5,7.0
11,12.0,1.5,12.0
12,9.0,1.5,9.0
13,11.0,1.5,11.0
14,12.0,1.5,12.0
15,11.0,1.5,11.0
16,10.0,1.5,10.0
17,11.0,1.5,11.0
18,13.0,1.5,13.0
19,15.0,1.5,15.0
20,16.0,1.5,16.0
21,14.0,1.5,14.0
22,18.0,1.5,18.0
23,28.0,1.5,28.0
24,24.0,1.5,24.0
25,33.0,1.5,33.0
26,33.0,1.5,33.0
27,22.0,1.5,22.0
28,44.0,1.5,44.0
29,45.0,1.5,45.0
30,44.0,1.5,44.0
31,51.0,1.5,51.0
32,43.0,1.5,43.0
33,54.0,1.5,54.0
34,62.0,1.5,62.0
35,66.0,1.5,66.0
36,66.0,1.46,66.0
37,79.0,1.42,79.0
38,81.0,1.38,81.0
39,89.0,1.34,89.0
40,94.0,1.3,94.0
41,63.0,1.26,63.0
42,90.0,1.22,90.0
43,74.0,1.18,74.0
44,94.0,1.1400000000000001,94.0
45,90.0,1.1,90.0
46,88.0,1.06,88.0
47,90.0,1.02,90.0
48,69.0,0.98,69.0
49,89.0,0.94,89.0
50,59.0,0.9,59.0
51,59.0,0.9006000000000001,59.0
52,47.0,0.9012,47.0
53,60.0,0.9018,60.0
54,40.0,0.9024,40.0
55,58.0,0.903,58.0
56,36.0,0.9036000000000001,36.0
57,45.0,0.9042,45.0
58,44.0,0.9048,44.0
59,44.0,0.9054,44.0
60,49.0,0.906,49.0
61,44.0,0.9066000000000001,44.0
62,46.0,0.9072,46.0
63,44.0,0.9078,44.0
64,41.0,0.9084,41.0
65,47.0,0.909,47.0
66,35.0,0.9096000000000001,35.0
67,36.0,0.9102,36.0
68,37.0,0.9108,37.0
69,34.0,0.9114,34.0
70,40.0,0.912,40.0
71,29.0,0.9126000000000001,29.0
72,29.0,0.9132,29.0
73,31.0,0.9138000000000001,31.0
74,37.0,0.9144,37.0
75,24.0,0.915,24.0
76,27.0,0.9156000000000001,27.0
77,30.0,0.9162,30.0
78,32.0,0.9168000000000001,32.0
79,17.0,0.9174,17.0
80,15.0,0.918,15.0
81,30.0,0.9186000000000001,30.0
82,17.0,0.9192,17.0
83,22.0,0.9198000000000001,22.0
84,21.0,0.9204,21.0
85,21.0,0.921,21.0
86,28.0,0.9216000000000001,28.0
87,35.0,0.9222,35.0
88,23.0,0.9228000000000001,23.0
89,27.0,0.9234,27.0
90,22.0,0.924,22.0
91,22.0,0.9246000000000001,22.0
92,25.0,0.9252,25.0
93,23.0,0.9258000000000001,23.0
94,15.0,0.9264,15.0
95,28.0,0.927,28.0
96,27.0,0.9276000000000001,27.0
97,19.0,0.9282,19.0
98,22.0,0.9288000000000001,22.0
99,18.0,0.9294,18.0
100,22.0,0.93,22.0
