time,NI,Rt,obs
0,15.0,1.5,15.0
1,3.0,1.5,3.0
2,7.0,1.5,7.0
3,4.0,1.5,4.0
4,8.0,1.5,8.0
5,11.0,1.5,11.0
6,7.0,1.5,7.0
7,9.0,1.5,9.0
8,12.0,1.5,12.0
9,11.0,1.5,11.0
10,10.0,1.5,10.0
11,15.0,1.5,15.0
12,16.0,1.5,16.0
13,20.0,1.5,20.0
14,25.0,1.5,25.0
15,23.0,1.5,23.0
16,33.0,1.5,33.0
17,26.0,1.5,26.0
18,31.0,1.5,31.0
19,32.0,1.5,32.0
20,39.0,1.5,39.0
21,23.0,1.5,23.0
22,37.0,1.5,37.0
23,44.0,1.5,44.0
24,58.0,1.5,58.0
25,80.0,1.5,80.0
26,65.0,1.5,65.0
27,75.0,1.5,75.0
28,85.0,1.5,85.0
29,104.0,1.5,104.0
30,111.0,1.5,111.0
31,119.0,1.5,119.0
32,143.0,1.5,143.0
33,146.0,1.5,146.0
34,151.0,1.5,151.0
35,171.0,1.5,171.0
36,179.0,1.46,179.0
37,197.0,1.42,197.0
38,200.0,1.38,200.0
39,216.0,1.34,216.0
40,202.0,1.3,202.0
41,199.0,1.26,199.0
42,191.0,1.22,191.0
43,175.0,1.18,175.0
44,200.0,1.1400000000000001,200.0
45,179.0,1.1,179.0
46,163.0,1.06,163.0
47,168.0,1.02,168.0
48,155.0,0.98,155.0
49,141.0,0.94,141.0
50,140.0,0.9,140.0
51,136.0,0.9006000000000001,136.0
52,122.0,0.9012,122.0
53,139.0,0.9018,139.0
54,117.0,0.9024,117.0
55,118.0,0.903,118.0
56,107.0,0.9036000000000001,107.0
57,91.0,0.9042,91.0
58,115.0,0.9048,115.0
59,93.0,0.9054,93.0
60,94.0,0.906,94.0
61,105.0,0.9066000000000001,105.0
62,58.0,0.9072,58.0
63,92.0,0.9078,92.0
64,71.0,0.9084,71.0
65,62.0,0.909,62.0
66,69.0,0.9096000000000001,69.0
67,69.0,0.9102,69.0
68,69.0,0.9108,69.0
69,58.0,0.9114,58.0
70,57.0,0.912,57.0
71,51.0,0.9126000000000001,51.0
72,60.0,0.9132,60.0
73,38.0,0.9138000000000001,38.0
74,53.0,0.9144,53.0
75,62.0,0.915,62.0
76,51.0,0.9156000000000001,51.0
77,46.0,0.9162,46.0
78,33.0,0.9168000000000001,33.0
79,36.0,0.9174,36.0
80,46.0,0.918,46.0
81,33.0,0.9186000000000001,33.0
82,38.0,0.9192,38.0
83,33.0,0.9198000000000001,33.0
84,28.0,0.9204,28.0
85,21.0,0.921,21.0
86,27.0,0.9216000000000001,27.0
87,36.0,0.9222,36.0
88,35.0,0.9228000000000001,35.0
89,35.0,0.9234,35.0
90,23.0,0.924,23.0
91,21.0,0.9246000000000001,21.0
92,27.0,0.9252,27.0
93,14.0,0.9258000000000001,14.0
94,20.0,0.9264,20.0
95,23.0,0.927,23.0
96,18.0,0.9276000000000001,18.0
97,20.0,0.9282,20.0
98,25.0,0.9288000000000001,25.0
99,13.0,0.9294,13.0
100,25.0,0.93,25.0
