time,NI,Rt,obs
0,15.0,1.5,15.0
1,10.0,1.5,10.0
2,2.0,1.5,2.0
3,7.0,1.5,7.0
4,5.0,1.5,5.0
5,7.0,1.5,7.0
6,4.0,1.5,4.0
7,6.0,1.5,6.0
8,7.0,1.5,7.0
9,8.0,1.5,8.0
10,3.0,1.5,3.0
11,11.0,1.5,11.0
12,12.0,1.5,12.0
13,10.0,1.5,10.0
14,10.0,1.5,10.0
15,15.0,1.5,15.0
16,19.0,1.5,19.0
17,18.0,1.5,18.0
18,11.0,1.5,11.0
19,16.0,1.5,16.0
20,24.0,1.5,24.0
21,30.0,1.5,30.0
22,29.0,1.5,29.0
23,38.0,1.5,38.0
24,29.0,1.5,29.0
25,38.0,1.5,38.0
26,43.0,1.5,43.0
27,50.0,1.5,50.0
28,37.0,1.5,37.0
29,58.0,1.5,58.0
30,52.0,1.5,52.0
31,59.0,1.5,59.0
32,77.0,1.5,77.0
33,71.0,1.5,71.0
34,95.0,1.5,95.0
35,102.0,1.5,102.0
36,105.0,1.46,105.0
37,113.0,1.42,113.0
38,119.0,1.38,119.0
39,110.0,1.34,110.0
40,136.0,1.3,136.0
41,123.0,1.26,123.0
42,132.0,1.22,132.0
43,111.0,1.18,111.0
44,128.0,1.1400000000000001,128.0
45,119.0,1.1,119.0
46,110.0,1.06,110.0
47,111.0,1.02,111.0
48,114.0,0.98,114.0
49,110.0,0.94,110.0
50,82.0,0.9,82.0
51,98.0,0.9006000000000001,98.0
52,114.0,0.9012,114.0
53,104.0,0.9018,104.0
54,103.0,0.9024,103.0
55,77.0,0.903,77.0
56,96.0,0.9036000000000001,96.0
57,95.0,0.9042,95.0
58,69.0,0.9048,69.0
59,71.0,0.9054,71.0
60,97.0,0.906,97.0
61,78.0,0.9066000000000001,78.0
62,82.0,0.9072,82.0
63,90.0,0.9078,90.0
64,62.0,0.9084,62.0
65,75.0,0.909,75.0
66,71.0,0.9096000000000001,71.0
67,69.0,0.9102,69.0
68,60.0,0.9108,60.0
69,52.0,0.9114,52.0
70,59.0,0.912,59.0
71,38.0,0.9126000000000001,38.0
72,54.0,0.9132,54.0
73,53.0,0.9138000000000001,53.0
74,54.0,0.9144,54.0
75,53.0,0.915,53.0
76,49.0,0.9156000000000001,49.0
77,47.0,0.9162,47.0
78,57.0,0.9168000000000001,57.0
79,48.0,0.9174,48.0
80,31.0,0.918,31.0
81,45.0,0.9186000000000001,45.0
82,33.0,0.9192,33.0
83,37.0,0.9198000000000001,37.0
84,38.0,0.9204,38.0
85,33.0,0.921,33.0
86,32.0,0.9216000000000001,32.0
87,36.0,0.9222,36.0
88,29.0,0.9228000000000001,29.0
89,29.0,0.9234,29.0
90,33.0,0.924,33.0
91,20.0,0.9246000000000001,20.0
92,28.0,0.9252,28.0
93,24.0,0.9258000000000001,24.0
94,23.0,0.9264,23.0
95,25.0,0.927,25.0
96,18.0,0.9276000000000001,18.0
97,33.0,0.9282,33.0
98,23.0,0.9288000000000001,23.0
99,22.0,0.9294,22.0
100,15.0,0.93,15.0
