time,NI,Rt,obs
0,15.0,1.5,15.0
1,2.0,1.5,2.0
2,4.0,1.5,4.0
3,4.0,1.5,4.0
4,2.0,1.5,2.0
5,4.0,1.5,4.0
6,2.0,1.5,2.0
7,5.0,1.5,5.0
8,7.0,1.5,7.0
9,3.0,1.5,3.0
10,7.0,1.5,7.0
11,7.0,1.5,7.0
12,6.0,1.5,6.0
13,10.0,1.5,10.0
14,10.0,1.5,10.0
15,9.0,1.5,9.0
16,15.0,1.5,15.0
17,15.0,1.5,15.0
18,19.0,1.5,19.0
19,15.0,1.5,15.0
20,15.0,1.5,15.0
21,16.0,1.5,16.0
22,13.0,1.5,13.0
23,21.0,1.5,21.0
24,27.0,1.5,27.0
25,32.0,1.5,32.0
26,26.0,1.5,26.0
27,36.0,1.5,36.0
28,35.0,1.5,35.0
29,36.0,1.5,36.0
30,45.0,1.5,45.0
31,45.0,1.5,45.0
32,49.0,1.5,49.0
33,44.0,1.5,44.0
34,56.0,1.5,56.0
35,60.0,1.5,60.0
36,57.0,1.46,57.0
37,61.0,1.42,61.0
38,56.0,1.38,56.0
39,77.0,1.34,77.0
40,73.0,1.3,73.0
41,82.0,1.26,82.0
42,87.0,1.22,87.0
43,70.0,1.18,70.0
44,64.0,1.1400000000000001,64.0
45,80.0,1.1,80.0
46,72.0,1.06,72.0
47,76.0,1.02,76.0
48,75.0,0.98,75.0
49,51.0,0.94,51.0
50,43.0,0.9,43.0
51,53.0,0.9006000000000001,53.0
52,50.0,0.9012,50.0
53,60.0,0.9018,60.0
54,54.0,0.9024,54.0
55,57.0,0.903,57.0
56,55.0,0.9036000000000001,55.0
57,52.0,0.9042,52.0
58,38.0,0.9048,38.0
59,49.0,0.9054,49.0
60,45.0,0.906,45.0
61,38.0,0.9066000000000001,38.0
62,41.0,0.9072,41.0
63,49.0,0.9078,49.0
64,33.0,0.9084,33.0
65,46.0,0.909,46.0
66,31.0,0.9096000000000001,31.0
67,35.0,0.9102,35.0
68,37.0,0.9108,37.0
69,30.0,0.9114,30.0
70,37.0,0.912,37.0
71,25.0,0.9126000000000001,25.0
72,39.0,0.9132,39.0
73,27.0,0.9138000000000001,27.0
74,34.0,0.9144,34.0
75,38.0,0.915,38.0
76,36.0,0.9156000000000001,36.0
77,28.0,0.9162,28.0
78,26.0,0.9168000000000001,26.0
79,24.0,0.9174,24.0
80,31.0,0.918,31.0
81,23.0,0.9186000000000001,23.0
82,25.0,0.9192,25.0
83,26.0,0.9198000000000001,26.0
84,24.0,0.9204,24.0
85,16.0,0.921,16.0
86,13.0,0.9216000000000001,13.0
87,23.0,0.9222,23.0
88,19.0,0.9228000000000001,19.0
89,20.0,0.9234,20.0
90,17.0,0.924,17.0
91,28.0,0.9246000000000001,28.0
92,15.0,0.9252,15.0
93,23.0,0.9258000000000001,23.0
94,22.0,0.9264,22.0
95,21.0,0.927,21.0
96,25.0,0.9276000000000001,25.0
97,15.0,0.9282,15.0
98,13.0,0.9288000000000001,13.0
99,15.0,0.9294,15.0
100,18.0,0.93,18.0
