time,NI,Rt,obs
0,15.0,1.5,15.0
1,6.0,1.5,6.0
2,6.0,1.5,6.0
3,4.0,1.5,4.0
4,6.0,1.5,6.0
5,9.0,1.5,9.0
6,9.0,1.5,9.0
7,16.0,1.5,16.0
8,9.0,1.5,9.0
9,13.0,1.5,13.0
10,15.0,1.5,15.0
11,17.0,1.5,17.0
12,21.0,1.5,21.0
13,22.0,1.5,22.0
14,19.0,1.5,19.0
15,23.0,1.5,23.0
16,21.0,1.5,21.0
17,25.0,1.5,25.0
18,27.0,1.5,27.0
19,31.0,1.5,31.0
20,43.0,1.5,43.0
21,39.0,1.5,39.0
22,49.0,1.5,49.0
23,46.0,1.5,46.0
24,49.0,1.5,49.0
25,61.0,1.5,61.0
26,60.0,1.5,60.0
27,83.0,1.5,83.0
28,75.0,1.5,75.0
29,76.0,1.5,76.0
30,98.0,1.5,98.0
31,103.0,1.5,103.0
32,106.0,1.5,106.0
33,128.0,1.5,128.0
34,145.0,1.5,145.0
35,153.0,1.5,153.0
36,175.0,1.46,175.0
37,180.0,1.42,180.0
38,158.0,1.38,158.0
39,175.0,1.34,175.0
40,174.0,1.3,174.0
41,189.0,1.26,189.0
42,183.0,1.22,183.0
43,161.0,1.18,161.0
44,179.0,1.1400000000000001,179.0
45,165.0,1.1,165.0
46,145.0,1.06,145.0
47,151.0,1.02,151.0
48,133.0,0.98,133.0
49,165.0,0.94,165.0
50,132.0,0.9,132.0
51,123.0,0.9006000000000001,123.0
52,104.0,0.9012,104.0
53,116.0,0.9018,116.0
54,93.0,0.9024,93.0
55,108.0,0.903,108.0
56,108.0,0.9036000000000001,108.0
57,82.0,0.9042,82.0
58,98.0,0.9048,98.0
59,80.0,0.9054,80.0
60,69.0,0.906,69.0
61,80.0,0.9066000000000001,80.0
62,75.0,0.9072,75.0
63,69.0,0.9078,69.0
64,79.0,0.9084,79.0
65,71.0,0.909,71.0
66,66.0,0.9096000000000001,66.0
67,73.0,0.9102,73.0
68,72.0,0.9108,72.0
69,70.0,0.9114,70.0
70,73.0,0.912,73.0
71,52.0,0.9126000000000001,52.0
72,62.0,0.9132,62.0
73,36.0,0.9138000000000001,36.0
74,52.0,0.9144,52.0
75,49.0,0.915,49.0
76,46.0,0.9156000000000001,46.0
77,51.0,0.9162,51.0
78,47.0,0.9168000000000001,47.0
79,43.0,0.9174,43.0
80,41.0,0.918,41.0
81,37.0,0.9186000000000001,37.0
82,43.0,0.9192,43.0
83,37.0,0.9198000000000001,37.0
84,31.0,0.9204,31.0
85,29.0,0.921,29.0
86,24.0,0.9216000000000001,24.0
87,24.0,0.9222,24.0
88,23.0,0.9228000000000001,23.0
89,24.0,0.9234,24.0
90,23.0,0.924,23.0
91,31.0,0.9246000000000001,31.0
92,26.0,0.9252,26.0
93,18.0,0.9258000000000001,18.0
94,28.0,0.9264,28.0
95,22.0,0.927,22.0
96,24.0,0.9276000000000001,24.0
97,27.0,0.9282,27.0
98,25.0,0.9288000000000001,25.0
99,21.0,0.9294,21.0
100,27.0,0.93,27.0
