time,NI,Rt,obs
0,15.0,1.5,15.0
1,3.0,1.5,3.0
2,5.0,1.5,5.0
3,3.0,1.5,3.0
4,7.0,1.5,7.0
5,8.0,1.5,8.0
6,6.0,1.5,6.0
7,9.0,1.5,9.0
8,13.0,1.5,13.0
9,14.0,1.5,14.0
10,9.0,1.5,9.0
11,17.0,1.5,17.0
12,21.0,1.5,21.0
13,25.0,1.5,25.0
14,26.0,1.5,26.0
15,26.0,1.5,26.0
16,30.0,1.5,30.0
17,33.0,1.5,33.0
18,38.0,1.5,38.0
19,31.0,1.5,31.0
20,34.0,1.5,34.0
21,42.0,1.5,42.0
22,56.0,1.5,56.0
23,49.0,1.5,49.0
24,65.0,1.5,65.0
25,62.0,1.5,62.0
26,85.0,1.5,85.0
27,92.0,1.5,92.0
28,108.0,1.5,108.0
29,109.0,1.5,109.0
30,112.0,1.5,112.0
31,129.0,1.5,129.0
32,136.0,1.5,136.0
33,142.0,1.5,142.0
34,173.0,1.5,173.0
35,164.0,1.5,164.0
36,190.0,1.46,190.0
37,178.0,1.42,178.0
38,213.0,1.38,213.0
39,236.0,1.34,236.0
40,199.0,1.3,199.0
41,254.0,1.26,254.0
42,203.0,1.22,203.0
43,216.0,1.18,216.0
44,218.0,1.1400000000000001,218.0
45,203.0,1.1,203.0
46,229.0,1.06,229.0
47,191.0,1.02,191.0
48,180.0,0.98,180.0
49,173.0,0.94,173.0
50,162.0,0.9,162.0
51,142.0,0.9006000000000001,142.0
52,152.0,0.9012,152.0
53,164.0,0.9018,164.0
54,130.0,0.9024,130.0
55,145.0,0.903,145.0
56,121.0,0.9036000000000001,121.0
57,143.0,0.9042,143.0
58,124.0,0.9048,124.0
59,123.0,0.9054,123.0
60,125.0,0.906,125.0
61,126.0,0.9066000000000001,126.0
62,127.0,0.9072,127.0
63,109.0,0.9078,109.0
64,91.0,0.9084,91.0
65,110.0,0.909,110.0
66,96.0,0.9096000000000001,96.0
67,81.0,0.9102,81.0
68,74.0,0.9108,74.0
69,87.0,0.9114,87.0
70,78.0,0.912,78.0
71,74.0,0.9126000000000001,74.0
72,63.0,0.9132,63.0
73,54.0,0.9138000000000001,54.0
74,72.0,0.9144,72.0
75,59.0,0.915,59.0
76,63.0,0.9156000000000001,63.0
77,53.0,0.9162,53.0
78,55.0,0.9168000000000001,55.0
79,39.0,0.9174,39.0
80,38.0,0.918,38.0
81,46.0,0.9186000000000001,46.0
82,47.0,0.9192,47.0
83,42.0,0.9198000000000001,42.0
84,29.0,0.9204,29.0
85,36.0,0.921,36.0
86,32.0,0.9216000000000001,32.0
87,36.0,0.9222,36.0
88,31.0,0.9228000000000001,31.0
89,27.0,0.9234,27.0
90,28.0,0.924,28.0
91,18.0,0.9246000000000001,18.0
92,28.0,0.9252,28.0
93,19.0,0.9258000000000001,19.0
94,27.0,0.9264,27.0
95,27.0,0.927,27.0
96,32.0,0.9276000000000001,32.0
97,21.0,0.9282,21.0
98,25.0,0.9288000000000001,25.0
99,25.0,0.9294,25.0
100,28.0,0.93,28.0
