time,NI,Rt,obs
0,15.0,1.5,15.0
1,4.0,1.5,4.0
2,6.0,1.5,6.0
3,4.0,1.5,4.0
4,7.0,1.5,7.0
5,8.0,1.5,8.0
6,8.0,1.5,8.0
7,11.0,1.5,11.0
8,9.0,1.5,9.0
9,13.0,1.5,13.0
10,16.0,1.5,16.0
11,18.0,1.5,18.0
12,12.0,1.5,12.0
13,14.0,1.5,14.0
14,23.0,1.5,23.0
15,24.0,1.5,24.0
16,29.0,1.5,29.0
17,28.0,1.5,28.0
18,27.0,1.5,27.0
19,40.0,1.5,40.0
20,36.0,1.5,36.0
21,39.0,1.5,39.0
22,54.0,1.5,54.0
23,55.0,1.5,55.0
24,69.0,1.5,69.0
25,73.0,1.5,73.0
26,76.0,1.5,76.0
27,90.0,1.5,90.0
28,100.0,1.5,100.0
29,113.0,1.5,113.0
30,123.0,1.5,123.0
31,146.0,1.5,146.0
32,146.0,1.5,146.0
33,169.0,1.5,169.0
34,158.0,1.5,158.0
35,207.0,1.5,207.0
36,213.0,1.46,213.0
37,207.0,1.42,207.0
38,217.0,1.38,217.0
39,211.0,1.34,211.0
40,233.0,1.3,233.0
41,208.0,1.26,208.0
42,246.0,1.22,246.0
43,251.0,1.18,251.0
44,203.0,1.1400000000000001,203.0
45,231.0,1.1,231.0
46,216.0,1.06,216.0
47,197.0,1.02,197.0
48,198.0,0.98,198.0
49,189.0,0.94,189.0
50,164.0,0.9,164.0
51,143.0,0.9006000000000001,143.0
52,123.0,0.9012,123.0
53,132.0,0.9018,132.0
54,127.0,0.9024,127.0
55,113.0,0.903,113.0
56,114.0,0.9036000000000001,114.0
57,96.0,0.9042,96.0
58,108.0,0.9048,108.0
59,114.0,0.9054,114.0
60,92.0,0.906,92.0
61,84.0,0.9066000000000001,84.0
62,89.0,0.9072,89.0
63,90.0,0.9078,90.0
64,80.0,0.9084,80.0
65,79.0,0.909,79.0
66,79.0,0.9096000000000001,79.0
67,64.0,0.9102,64.0
68,61.0,0.9108,61.0
69,45.0,0.9114,45.0
70,63.0,0.912,63.0
71,59.0,0.9126000000000001,59.0
72,37.0,0.9132,37.0
73,54.0,0.9138000000000001,54.0
74,59.0,0.9144,59.0
75,57.0,0.915,57.0
76,62.0,0.9156000000000001,62.0
77,42.0,0.9162,42.0
78,36.0,0.9168000000000001,36.0
79,41.0,0.9174,41.0
80,33.0,0.918,33.0
81,36.0,0.9186000000000001,36.0
82,28.0,0.9192,28.0
83,36.0,0.9198000000000001,36.0
84,45.0,0.9204,45.0
85,30.0,0.921,30.0
86,25.0,0.9216000000000001,25.0
87,32.0,0.9222,32.0
88,26.0,0.9228000000000001,26.0
89,27.0,0.9234,27.0
90,18.0,0.924,18.0
91,22.0,0.9246000000000001,22.0
92,27.0,0.9252,27.0
93,18.0,0.9258000000000001,18.0
94,17.0,0.9264,17.0
95,17.0,0.927,17.0
96,20.0,0.9276000000000001,20.0
97,24.0,0.9282,24.0
98,19.0,0.9288000000000001,19.0
99,17.0,0.9294,17.0
100,19.0,0.93,19.0
