time,NI,Rt,obs
0,15.0,1.5,15.0
1,3.0,1.5,3.0
2,5.0,1.5,5.0
3,3.0,1.5,3.0
4,9.0,1.5,9.0
5,5.0,1.5,5.0
6,3.0,1.5,3.0
7,1.0,1.5,1.0
8,6.0,1.5,6.0
9,6.0,1.5,6.0
10,6.0,1.5,6.0
11,8.0,1.5,8.0
12,10.0,1.5,10.0
13,15.0,1.5,15.0
14,10.0,1.5,10.0
15,14.0,1.5,14.0
16,16.0,1.5,16.0
17,15.0,1.5,15.0
18,17.0,1.5,17.0
19,20.0,1.5,20.0
20,27.0,1.5,27.0
21,22.0,1.5,22.0
22,23.0,1.5,23.0
23,33.0,1.5,33.0
24,26.0,1.5,26.0
25,38.0,1.5,38.0
26,42.0,1.5,42.0
27,49.0,1.5,49.0
28,63.0,1.5,63.0
29,49.0,1.5,49.0
30,60.0,1.5,60.0
31,68.0,1.5,68.0
32,83.0,1.5,83.0
33,60.0,1.5,60.0
34,75.0,1.5,75.0
35,113.0,1.5,113.0
36,77.0,1.46,77.0
37,98.0,1.42,98.0
38,110.0,1.38,110.0
39,114.0,1.34,114.0
40,112.0,1.3,112.0
41,95.0,1.26,95.0
42,93.0,1.22,93.0
43,113.0,1.18,113.0
44,124.0,1.1400000000000001,124.0
45,102.0,1.1,102.0
46,102.0,1.06,102.0
47,91.0,1.02,91.0
48,112.0,0.98,112.0
49,95.0,0.94,95.0
50,91.0,0.9,91.0
51,96.0,0.9006000000000001,96.0
52,81.0,0.9012,81.0
53,84.0,0.9018,84.0
54,93.0,0.9024,93.0
55,92.0,0.903,92.0
56,69.0,0.9036000000000001,69.0
57,78.0,0.9042,78.0
58,70.0,0.9048,70.0
59,68.0,0.9054,68.0
60,79.0,0.906,79.0
61,75.0,0.9066000000000001,75.0
62,69.0,0.9072,69.0
63,56.0,0.9078,56.0
64,60.0,0.9084,60.0
65,61.0,0.909,61.0
66,43.0,0.9096000000000001,43.0
67,51.0,0.9102,51.0
68,48.0,0.9108,48.0
69,50.0,0.9114,50.0
70,54.0,0.912,54.0
71,50.0,0.9126000000000001,50.0
72,45.0,0.9132,45.0
73,55.0,0.9138000000000001,55.0
74,47.0,0.9144,47.0
75,42.0,0.915,42.0
76,47.0,0.9156000000000001,47.0
77,37.0,0.9162,37.0
78,45.0,0.9168000000000001,45.0
79,48.0,0.9174,48.0
80,43.0,0.918,43.0
81,38.0,0.9186000000000001,38.0
82,42.0,0.9192,42.0
83,41.0,0.9198000000000001,41.0
84,37.0,0.9204,37.0
85,32.0,0.921,32.0
86,28.0,0.9216000000000001,28.0
87,30.0,0.9222,30.0
88,27.0,0.9228000000000001,27.0
89,34.0,0.9234,34.0
90,20.0,0.924,20.0
91,21.0,0.9246000000000001,21.0
92,25.0,0.9252,25.0
93,31.0,0.9258000000000001,31.0
94,25.0,0.9264,25.0
95,27.0,0.927,27.0
96,29.0,0.9276000000000001,29.0
97,24.0,0.9282,24.0
98,23.0,0.9288000000000001,23.0
99,27.0,0.9294,27.0
100,29.0,0.93,29.0
